Samples,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
3oxoLCA,0.3268505238042162,0.3177440592040234,0.3723747628397256,0.3668069928750869,0.3640039390958943,0.3523533525797037,0.3769575866471751,0.383266803930767,0.31825371648063344,0.385255214463929,0.35638669519211547
Glu_CDCA,0.34966727133095155,0.3016321036315378,0.3575490151647843,0.3723648416093951,0.3436737458523746,0.32325132191207834,0.33062157120442515,0.3245925252715784,0.3430166174483821,0.3644208757384274,0.34107898891639354
GLCA,0.30899181927192876,0.2626215810031711,0.3484198909644539,0.34747663917710137,0.3060403144907531,0.2901062061582669,0.29999167106589536,0.3090812328292287,0.29561604103714834,0.3256636506943025,0.309400904669225
Tyr_CA,0.27750158923411783,0.2374923294191426,0.3165235029047158,0.3812124968307181,0.31452933560827556,0.2755899763727737,0.3172778838628127,0.27014481321752853,0.30939479270140413,0.3057481893754647,0.3005414909526954
Trp_CA,0.2938896244753078,0.27555617069905486,0.29108363107231355,0.2726770541539947,0.31293544708615917,0.29720907216898923,0.29645444624224215,0.3089204109104138,0.29932829596132443,0.26599394192528214,0.2914048094695082
CDCA,0.2559354066663319,0.24546924357355374,0.2959996619432629,0.263642365368292,0.2690571524109202,0.24243726659080808,0.25271321152675486,0.2632384120642161,0.26451678096495607,0.2550434758111831,0.26080529769202787
Trp_CDCA,0.252924496987498,0.22471243742582045,0.2524095728849101,0.3042337931803178,0.2231305523675608,0.22448081956711594,0.20926851136225846,0.26937548917177323,0.2536722637920413,0.2911669204133601,0.2505374857152657
DCA,0.23061630437844718,0.21717426212380472,0.2269053967818469,0.26802620184681863,0.24078287081210784,0.22147272702775866,0.23895381238585997,0.257687912389412,0.2638464242538562,0.22812570811250432,0.23935916201124163
GDCA,0.2230100277916934,0.21607325052576398,0.23219671962480604,0.2729466421534704,0.24302641619438756,0.21895089725892333,0.2423543447027367,0.24259502640149627,0.21808677034556503,0.22562580303785626,0.2334865898036699
Met_CA,0.21887899896010812,0.21243938556963177,0.2165152964549362,0.2603902840533983,0.20876632562947758,0.20424016236522136,0.218894921922367,0.23974849068690435,0.23446084237369727,0.21007984753151218,0.2224414555547254
Asp_DCA,0.1776170919526574,0.22014830402079297,0.2401111667734322,0.19134378777875904,0.23868667407288555,0.19557206916444872,0.1926048863896643,0.21273261304384575,0.1964159861641707,0.2077449288427314,0.2072977508203388
3oxoDCA,0.20006332439606042,0.16712141013753765,0.23108897138888654,0.16896835127524557,0.24898148159489294,0.22383091773830247,0.18458583762742967,0.19912007260870793,0.24936522498533256,0.18549797839621476,0.20586235701486105
Glu_DCA,0.17663440021263282,0.2250465746646073,0.22912371039316246,0.19688473367620782,0.17767404716381424,0.18356211363850714,0.18264838057349614,0.21421014145714706,0.19756317435276222,0.19718212561747414,0.19805294017498115
Ala_DCA,0.1671726085854163,0.18296732975597452,0.22069250187707232,0.23806445370153756,0.17208876194069067,0.18449005488522607,0.21418062273480556,0.1768747144584172,0.2032083544108443,0.20079002389669184,0.19605294262466763
Lys_CDCA,0.16092946005234984,0.1467372013066628,0.21156056053726527,0.186199323641557,0.17223745791132383,0.17395554553905965,0.17390606187173197,0.19477126664715086,0.2096427009753427,0.19170621889663672,0.18216457973790806
Asn_CA,0.16652417656850368,0.14457057608052615,0.17712335763830628,0.20871488221294882,0.16128050012799613,0.16132226728284452,0.1709225886817135,0.1798038046081053,0.20228029067980027,0.18016795050653395,0.17527103943872785
TCA,0.1417762186884134,0.12484692521474566,0.23593224657074513,0.14164687524114103,0.17632169773073295,0.17027697380427742,0.14369211850113484,0.132899412197724,0.21298419584753644,0.19174075947630603,0.1672117423272757
His_DCA,0.08273705922484571,0.17255885678030355,0.19715934353301137,0.16390742144774026,0.16598230591440064,0.14075359705841647,0.15044798641893806,0.1283912541292528,0.17413265787310872,0.15292082245774596,0.15289913048377635
TDCA,0.131054063356242,0.14912442080224786,0.15650103927949824,0.1393471095536549,0.17926524103077912,0.10496869913072876,0.12889686942313558,0.1385764381803239,0.12187092356855632,0.13299739965777882,0.13826022039829455
Phe_CA,0.12848887413633242,0.09849417770760788,0.1304420091838747,0.17500266403407028,0.15042667414637614,0.12751463381473757,0.12393735661678701,0.11519846747612476,0.12744751240460003,0.16889633049210528,0.1345848700012616
Trp_DCA,0.11917786071327523,0.09234436223024359,0.1432512974152133,0.13182559211984848,0.11280720599781245,0.11365528746458672,0.11496868688229626,0.13281085603069948,0.12244219046067582,0.12533171817336677,0.1208615057488018
GCA,0.07539706356079083,0.12421502858171728,0.14611914540236717,0.07851232988458304,0.1125639521282264,0.13146450832954656,0.11776120700953296,0.10489410617676205,0.1459627329192547,0.12259566331998663,0.11594857373127679
Gln_CA,0.05409691694705371,0.0786108072819381,0.11130077128379498,0.08254831087991515,0.10011844234234125,0.08774470837094625,0.08198916993597746,0.10017600997512345,0.08847349010510382,0.10564322030888099,0.08907018474310752
