Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_CA,Ala_CDCA,Ala_DCA,Arg_CA,Arg_DCA,Asn_CA,Asn_CDCA,Asn_DCA,Asp_CA,Asp_CDCA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Gln_CDCA,Gln_UDCA,Glu_CA,Glu_CDCA,Glu_DCA,His_CA,His_CDCA,His_DCA,IleLeu_CA,LCA,Lys_CA,Lys_CDCA,Lys_DCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_CDCA,Tyr_UDCA,UDCA,Val_CA,Val_CDCA,Val_DCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA,isoalloLCA
3aHSDH%GENOME084620_3418,-1.0,-1.0,1.0,1.0,1.0,0.49821475,1.0,-0.29610962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9183128,-1.0,1.0,1.0,1.0,-0.038436342,1.0,1.0,0.8587635,1.0,1.0,0.24083687,1.0,-1.0,1.0,0.5299508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.36379984,1.0,1.0,1.0,0.31335512,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
3aHSDH%GENOME084674_3322,-1.0,-1.0,1.0,0.9298254,0.46117285,-1.0,1.0,0.2946843,1.0,0.7125619,0.8753462,1.0,1.0,-0.21714109,1.0,1.0,-0.28410032,1.0,1.0,-0.6028496,-1.0,1.0,0.26349476,-0.29396594,-0.5990755,1.0,0.5061012,-0.9370707,1.0,-1.0,-1.0,1.0,-0.79275715,1.0,-0.5661516,1.0,1.0,1.0,0.64092267,-1.0,-1.0,1.0,1.0,1.0,0.46429628,0.4948791,1.0,1.0,0.67426765,0.11100502,0.8269299,-0.684285,1.0,-0.30611566,-1.0,-0.085649185,0.20651022,1.0,-0.029800573,1.0,-0.3256007,-1.0,1.0,-1.0
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.64508116,-1.0,-1.0,1.0,1.0,0.80509794,1.0,-0.051456686,-0.41380998,-1.0,-1.0,-1.0,-1.0,-1.0,0.22331458,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.005303107,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.3680688,0.7140442,1.0,0.68899924,-1.0,-1.0,-0.89151394,-0.11579213,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8678679,-1.0,0.5387858,1.0,-1.0,1.0
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-1.0,-0.9237869,0.3440122,1.0,0.53887403,-0.49189934,0.040353708,-1.0,1.0,1.0,1.0,1.0,0.8302494,0.38346103,1.0,0.442163,-0.56402946,0.45912763,0.3439174,-0.1921311,-0.103747465,-1.0,1.0,1.0,-0.48376945,1.0,1.0,-0.31205156,0.8559979,1.0,0.5715406,0.61893696,0.035109315,0.24592094,-0.38344297,1.0,1.0,1.0,0.15258366,1.0,-0.42029336,0.27502787,0.36099994,0.042941205,0.640828,-0.77292,1.0,1.0,-0.32757407,-1.0,-0.45773336,-1.0,1.0,1.0,-0.16798918,-1.0,0.8167524,1.0,-0.887509,-1.0,-0.7211927,-0.63396174,-1.0,-0.43448278
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,1.0,1.0,-1.0,-0.9793852,0.3473631,-0.097082,-1.0,-1.0,0.9533374,0.804485,1.0,-0.116730444,-1.0,0.25520438,-1.0,-1.0,1.0,-1.0,-1.0,0.27600768,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.25415105,-1.0,0.19656198,1.0,-1.0,1.0,-1.0,-0.5720432,-1.0,-0.18658076,-1.0,-0.6315688,-1.0,1.0,-1.0,-1.0,-0.2735933,0.9346158,-1.0,-1.0,-1.0,-0.055827267,-1.0,-1.0,-0.30710113,-1.0,-1.0,-0.4346666,0.22319119,1.0,-1.0,0.25994524,-1.0,1.0,1.0,-1.0,1.0
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.66245526,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2836957,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.2806767,-1.0,-1.0,-1.0,-0.23349819,-1.0,-1.0,-0.08750555,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.5711445,-1.0,-0.11090117,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6318432,-0.9680713,-1.0,-1.0,-0.93228984,-0.18847026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.846364,-0.84324694,-1.0,-0.84821856,-1.0,1.0,1.0,-1.0,1.0
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6141663,-1.0,-1.0,-1.0,-1.0,-1.0,0.31777397,-1.0,-0.6454691,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.44983855,-0.33462548,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6990416,-1.0,-1.0,-0.68003744,-1.0,1.0
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0987835,0.26327324,-0.121370636,1.0,1.0,1.0,0.5602699,1.0,0.9955369,-1.0,1.0,1.0,-0.7291503,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.47761264,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.030673824,0.59749705,1.0,1.0,1.0,1.0,1.0,1.0,-0.6463592,0.54185265,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.372705,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.49606663,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.5527078,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.86690676,-0.5534117,1.0,0.3962352,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.984385,1.0,-1.0,1.0
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.31250408,-1.0,-0.9788343,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.79418755,1.0,-1.0,-1.0,-0.19494873,-1.0,1.0,-1.0,1.0,-1.0,-0.5662154,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7760671,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
