Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,His_DCA,LCA,Lys_CDCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_UDCA,UDCA,isoCA_aMCA,isoLCA,isoalloLCA
BSH1%UPI00095B1DAC,0.018642433,0.31716257,-1.0,1.0,-0.2706901,0.5569031,0.39120504,0.9068428,-1.0,-1.0,1.0,0.09727582,-0.26873818,1.0,0.050149474,-1.0,0.19802368,-1.0,0.18584237,0.39838573,1.0,0.8603681,1.0,-0.47894728,-0.6702062,-0.2725655,-1.0,-0.34730712,-0.8565839,-0.12707672,1.0,0.8154357,-1.0,-0.39695492,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.4635469,0.70791423
BSH1%UPI00095C7CBB,-0.5363671,-1.0,1.0,-0.39451313,1.0,-0.08138118,-0.30835658,-0.44340107,1.0,1.0,-1.0,1.0,1.0,-0.17684677,-0.85252,1.0,0.8267355,0.2614584,1.0,-1.0,-1.0,-1.0,-0.9260708,1.0,-1.0,0.73776424,0.1898337,-0.6187594,1.0,1.0,-0.40632007,-0.41774204,1.0,1.0,-1.0,0.9305991,1.0,-1.0,0.6159721,0.23434559,0.04654877,0.963967,-1.0,-1.0
BSH1%UPI000BCCCB22,-0.22709453,0.9129723,-0.574713,0.38032347,-0.73371047,-0.26272658,-0.76528203,-0.6947414,-0.20355813,0.25225273,0.57341164,-0.6640813,-0.7006677,-0.4420085,0.06885311,-0.4649919,-0.28104296,-1.0,-0.4777325,-0.4988926,0.9444926,1.0,0.15752585,0.25053445,1.0,-1.0,-0.7423662,0.5822715,-0.07763922,0.6185582,0.8059167,-0.37857535,-0.0798434,0.7220353,1.0,-1.0,-0.4062742,-1.0,-1.0,-0.23211284,0.65937996,-0.58952886,0.6881029,0.5999234
BSH1%UPI000BD3EFD5,0.68431884,0.01637066,1.0,-1.0,1.0,-1.0,-0.11204205,-1.0,1.0,1.0,-0.9470436,-0.51059,-0.33652952,-1.0,-1.0,1.0,0.67763925,0.6667491,1.0,-1.0,-0.4506128,-0.5986858,-1.0,1.0,0.32584935,-0.37697798,1.0,-0.21573019,-0.82582676,0.10252927,-1.0,-0.10596657,1.0,0.71682936,-1.0,1.0,0.25202674,-0.88454205,1.0,1.0,1.0,1.0,-0.7311975,0.11846238
BSH2%UPI0001599717,0.35264632,0.23748703,0.2588137,-1.0,1.0,0.8689192,1.0,-0.8775102,0.18601187,0.049969923,-0.641528,-1.0,-0.8151212,-1.0,-0.31142998,-0.5436483,1.0,1.0,1.0,-0.31926957,0.6441554,-0.37484878,0.38070476,0.29985267,1.0,1.0,1.0,0.83287084,-0.82063687,-1.0,-1.0,-0.20280895,0.8048348,-0.059500337,-1.0,1.0,1.0,-0.25731298,0.8650641,1.0,0.13164726,-0.46829554,-0.085575566,-1.0
BSH2%UPI00017C25E3,1.0,0.12323101,1.0,-1.0,0.9190371,1.0,0.82601315,0.018244129,1.0,0.6295361,0.13270481,1.0,1.0,0.48110306,-1.0,-0.33839747,0.5648249,0.51376474,0.26767337,-1.0,-0.46294338,-0.055496115,-1.0,0.2727334,0.58739305,-0.6580775,0.3778819,-0.8800264,1.0,0.707416,0.026676297,-0.6221974,1.0,0.10487267,-0.0152313495,-0.86461824,0.16219895,-0.3953928,-0.098240234,0.5237641,0.3288182,0.9106897,-0.1800031,-0.89208
BSH2%UPI0001C1C05D,0.9381422,0.248967,0.09268584,0.22950584,-0.3590998,1.0,-0.37139204,0.29984093,0.07659091,-0.18857384,1.0,1.0,1.0,1.0,-0.2551242,0.66073537,0.16207026,-0.51319695,-0.47251815,0.039447993,-1.0,0.7023052,-1.0,0.12917802,-0.8675648,0.06931997,-0.058298264,-0.7208235,1.0,1.0,0.7638231,-0.84987897,-0.16072504,0.36597502,0.61270106,-0.0722949,-0.50508124,-0.236088,-0.037605137,-0.14237624,-0.32957587,0.0011444862,0.7296868,-0.6294761
BSH2%UPI0001CF4F1D,1.0,1.0,-0.9542689,1.0,-1.0,-1.0,-1.0,1.0,-0.7850184,-0.44528833,1.0,-1.0,-1.0,0.5534801,1.0,-0.8885777,-0.56747305,-1.0,-1.0,1.0,0.5722034,1.0,1.0,-0.16948618,0.80481297,-1.0,-0.61975676,0.6137828,-1.0,-0.93748194,-0.14911503,0.035051454,-1.0,-0.5499623,0.28818578,-1.0,-1.0,-0.15937412,-1.0,0.0018253304,0.9934623,-0.3481475,1.0,1.0
BSH2%UPI000335FD2D,-1.0,-0.5092958,-0.8667483,1.0,-0.21228307,-0.06554818,0.77685803,-0.19933885,-0.82704437,-0.6495901,0.10712023,-1.0,-1.0,-1.0,0.6365488,-1.0,0.15913518,-1.0,-1.0,0.076363556,0.9074386,-0.28647444,1.0,-0.22139993,-0.3507475,1.0,0.04502687,1.0,-1.0,-1.0,-1.0,-1.0,-0.15032366,0.8505107,1.0,1.0,0.97854984,1.0,1.0,-0.6825529,-0.16140805,0.7070175,-0.42142665,0.15752685
BSH2%UPI00033AD64E,-1.0,-0.34827504,-1.0,1.0,-1.0,-1.0,-0.10623652,0.96670926,-0.7859876,-0.51725686,0.3197843,0.45879897,0.51100177,0.8657827,0.82068837,-0.7464864,0.3277968,-1.0,-0.24479766,-0.07949141,1.0,0.22948089,0.42572653,0.09557308,0.12152319,-1.0,0.13615482,0.6106852,-0.4743292,-0.38890526,0.57334065,0.5700662,-0.6509309,0.19900355,0.3041167,-0.90477383,-0.16613525,1.0,-0.67899823,-0.4324231,-1.0,-0.8249832,0.02592943,0.944374
