Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,His_DCA,LCA,Lys_CDCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_UDCA,UDCA,isoCA_aMCA,isoLCA,isoalloLCA
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,-0.003674797,0.02175921,-0.008437108,0.01981026,-0.04690114,-0.00566013,-0.03257877,0.03876172,0.014296236,-0.01176866,0.030411748,-0.0017603375,-0.000116294024,0.037790135,0.03476282,-0.0028355236,-0.03529183,-0.0070839636,-0.022551233,0.059064694,0.018981421,0.030046249,0.032001607,-0.026103383,0.008025478,-0.011463703,-0.03042971,0.013410793,0.0008752912,-0.013094244,0.018306708,0.00021545864,-0.0330416,-0.010722389,0.022165177,-0.033621553,-0.016554791,-0.019135784,-0.03896521,-0.018828304,-0.0023148977,0.0075054043,0.02714351,-0.022713719
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.034806076,-0.015663246,-0.027317524,0.006530935,-0.044329084,-0.0662576,-0.02566479,-0.008842023,-0.0040471694,-0.020049011,0.025424551,0.039359353,0.053854328,0.03817465,0.024301838,0.026368653,-0.055293154,-0.024085103,-0.0082466565,-0.016468046,-0.04365998,0.011100315,0.0346676,-0.030533904,0.036041096,0.022181526,0.018836701,-0.027814768,0.0635288,0.082510404,0.09341728,0.105205685,-0.05168675,-0.06983,-0.005458237,0.009082905,0.021423059,0.01670646,-0.012057565,-0.029190054,-0.06372199,0.014083352,-0.0051643504,-0.0067458046
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,0.061929427,0.07350476,-0.028195843,0.04832017,-0.053812254,0.012268445,-0.037190724,0.0427806,-0.050255843,-0.016193653,0.07175746,-0.02075869,-0.010811005,0.06574114,0.038405124,-0.021672368,-0.034896072,-0.06949145,-0.096530914,0.055157356,0.03843323,0.058500882,0.045245584,-0.07774612,-0.02273481,-0.025834508,-0.03913875,0.039644185,-0.04690759,-0.033606317,0.026318898,0.007786827,-0.07377207,-0.047165737,0.041328862,-0.021050315,-0.031324055,0.027819036,-0.050208524,-0.030116677,0.016140299,0.006924235,0.064430065,0.02787111
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,-0.008807177,-0.012585836,0.0062481626,-0.03159023,0.018649839,0.0033523003,0.019741397,0.0050222995,0.0044962447,-0.0065186257,-0.021998813,0.049389206,0.016943827,-0.0071744113,-0.026783194,0.0025852555,0.04076859,0.008384135,-0.025261767,0.0048964997,-0.0001782624,-0.021973561,-0.00825386,-0.00378804,-0.02763541,0.015394185,0.0074180835,-0.027805723,0.03058786,0.027493827,-0.02075947,-0.030826943,0.004509788,0.0010615804,-0.005543598,0.007397057,0.019684257,0.023701197,0.029870499,-0.009227798,-0.0009412298,0.003331387,-0.008441646,-0.015328717
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.012764251,0.002692936,-0.025544005,0.033442058,0.018276703,0.002964922,0.028489182,0.018509151,-0.035653587,-0.021338224,0.022227908,-0.036344226,-0.04675715,-0.03541887,0.00657561,-0.0680194,0.042692017,0.01781702,-0.013538956,0.015256255,0.036910344,0.011883911,0.020962117,-0.009085609,-0.020580953,0.01705994,0.036383852,0.009843593,-0.04501499,-0.062033903,-0.027256215,-0.009842061,-0.004731564,0.0041631134,-0.00065804477,0.0133254025,0.006329107,0.032184366,0.0066539533,0.03630517,-0.013503147,-0.04857145,-0.0006900699,0.009232077
5BR%MCD8287651_1_NADH_flavin_oxidoreductase__Porphyromonadaceae_bacterium_,-0.021973843,0.0036550823,-0.06269381,0.016472591,0.012437883,-0.00077907776,0.053392377,0.0122893285,-0.05106953,-0.05681489,0.002584432,-0.024396658,-0.046228547,-0.02809027,0.0037978855,-0.047743272,0.024997296,0.011236356,0.033590633,0.026709098,0.05965071,0.015396137,0.034520485,-0.0061014206,-0.010398917,-0.0017713853,-0.024133153,-0.005562533,-0.0005240993,-0.0025544125,-0.019611297,-0.010795363,-0.0017089136,-0.028491236,0.0042283176,0.01603341,0.024364052,0.049896568,0.015683955,-0.001746905,-0.08046402,-0.0487028,0.008482147,-0.017520351
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,-0.07115556,-0.04038336,0.024704885,0.028297737,0.011069214,0.000721833,0.047799096,0.010860124,0.053955875,0.027629089,-0.017991088,0.005263242,-0.01761131,-0.018780611,-0.035855707,-0.06023982,-0.054669045,0.02834281,-0.0029770883,-0.004664857,0.028922124,-0.016769364,0.009277616,0.018303664,-0.02847542,-0.009038171,-0.005750283,-0.018611548,0.029884003,0.009348123,0.019421702,0.018112002,0.025064928,0.022371786,0.0089630345,-0.005716752,-0.014515629,-0.019250276,0.03469781,-0.035958406,-0.05117827,0.023947546,-0.025666064,-0.025187545
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,0.0003219876,-0.00235952,0.039498776,-0.033716578,0.0050000227,-0.021249125,-0.003189056,-0.008824398,0.032655388,0.014423517,-0.019022234,-0.01269151,-0.013806692,-0.022254359,-0.03531896,0.046344575,0.007637229,0.0076910816,0.033334684,-0.02388618,-0.021118335,-0.008106218,-0.027031744,0.0031790184,-0.018325407,-0.018243805,-0.013183318,0.000952841,-0.01856761,-0.015948515,-0.025548486,-0.012797309,0.021138541,0.0034452737,-0.043151304,-0.013369548,0.0066418876,0.009531914,0.027109588,0.042073563,0.063309655,0.036918037,0.0010653507,0.01318455
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.032493357,0.013738184,0.027282383,-0.04747224,0.02597294,0.015025562,0.018545063,-0.002502249,0.0064046844,0.016392106,-0.008316668,0.007297833,-0.003203594,-0.029327076,-0.046341073,-0.010658115,0.016861536,0.041650873,-0.025447179,-0.007956504,0.017273314,-0.021974538,-0.003141378,-0.0135322865,0.0046255807,0.032108523,0.036469534,-0.0026884368,0.020958714,0.010179696,-0.007688952,-0.0118879555,0.00095355173,-0.02096916,-0.034706876,-0.0027511793,0.014241002,-0.0064782626,0.020019352,0.021431176,0.013931471,0.03741697,-0.006981216,-0.016489066
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,0.044997692,0.020805301,0.03260418,-0.025833648,-0.013011673,-0.004243566,-0.024377866,0.021043379,0.041317213,0.0073622013,0.049818527,0.008890666,-0.0060993163,-0.005561662,-0.009374169,0.013018873,-0.05814521,-0.021752661,-0.041863374,0.00983015,-0.03433738,0.040884823,0.012583154,0.01053049,0.11650317,-0.0056609367,-0.013497578,0.036104444,-0.0022562847,-0.013486039,0.014095814,0.025915837,0.02153503,0.035523888,0.030626021,-0.042385302,-0.034535836,-0.05957517,-0.016166268,0.025055341,0.04572539,0.067003705,0.021853855,-0.053293906
