Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,0.022611381,-0.13093373,-0.042592376,-0.009524063,0.0010901104,0.02307428,0.018588789,-0.0088777775,0.012506207,-0.022609437,0.06059389,0.09393989,-0.034155797
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,0.023289334,0.037765842,-0.03508614,-0.04255246,-0.043171544,0.022009388,0.08973724,-0.030441461,0.035574954,0.017274123,-0.037488267,-0.09957277,0.00015686391
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.025972145,-0.054479875,0.011289892,0.023912353,0.0635608,-0.039595727,-0.05272206,-0.0050341375,-0.051659852,0.009030334,0.0375302,0.06482016,-0.022282908
3aHSDH%WP_289544896_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enorma_phocaeensis_,-0.0081369355,0.05846007,0.032174744,0.024942057,-0.0011690711,-0.019684084,-0.039738882,-0.024643615,0.017174542,-0.05044489,0.055099916,-0.002380279,-0.00025664852
3aHSDH%WP_316269050_1_SDR_family_NAD(P)-dependent_oxidoreductase__Claveliimonas_bilis_,0.036372915,-0.0030660196,-0.016879717,-0.030183041,-0.036845766,0.049343046,0.08056459,-0.005259186,-0.0012312027,-0.06128655,0.03444037,-0.015086218,-0.036315616
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-0.073874705,0.02682623,0.020651363,0.03519582,0.03302965,-0.090146475,-0.056087226,0.068878494,-0.07001812,0.038396005,0.025245802,0.0024960318,0.06250177
3bHSDH%GENOME124823_1686,-0.04486249,-0.057137154,0.056110933,0.07328935,0.030365119,-0.0648602,-0.017140228,0.09210267,-0.02314739,0.025293946,-0.03490548,-0.023121543,0.034639284
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-0.0011932116,-0.0541185,0.073194236,0.09308789,0.01170516,-0.0065799444,-0.0060503497,0.0038576985,0.02122867,-0.026035214,-0.050637145,-0.10102956,0.064800456
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,-0.05680639,-0.029279856,0.036446165,0.0307812,0.016512029,-0.062241472,0.0016818636,0.05502845,-0.037429947,-0.0017889285,-0.037832037,0.0065853195,0.036180276
5AR%GENOME006039_2690,0.0005202634,-0.024705827,-0.03261085,-0.036196176,0.00969232,0.0019041998,-0.016688047,-0.02473215,-0.0022217021,0.0039959108,0.053170286,0.062193006,-0.024800723
5AR%GENOME012336_2253,0.0763735,0.01770433,-0.07019004,-0.08334716,-0.04706637,0.052143544,0.10876545,-0.050215892,0.04488594,-0.058401965,-0.007354679,0.01564434,-0.011032743
5AR%GENOME078645_81,0.038790643,-0.06501768,-0.03492047,-0.006907774,-0.023398833,0.020342557,0.047297664,-0.041865896,0.032972164,0.03278978,-0.019366955,0.014146112,-0.07407261
