Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,0.2564029,0.4157814,-0.38627934,-0.46847945,-0.47529525,0.2423114,0.9879582,-0.33514395,0.3916609,0.1901787,-0.41272545,-1.0,0.0017269865
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.2859392,-0.5997938,0.12429558,0.263262,0.69976985,-0.43592745,-0.58044124,-0.05542312,-0.5687469,0.099419065,0.4131871,0.7136348,-0.2453227
3aHSDH%WP_289544896_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enorma_phocaeensis_,-0.08958324,0.64361364,0.35422644,0.2745985,-0.012870837,-0.21671106,-0.4375035,-0.2713128,0.18908237,-0.5553708,0.60662013,-0.026205577,-0.0028255607
3aHSDH%WP_316269050_1_SDR_family_NAD(P)-dependent_oxidoreductase__Claveliimonas_bilis_,0.40044603,-0.03375521,-0.18583651,-0.33229887,-0.40565187,0.54324013,0.88697237,-0.05790078,-0.013554873,-0.6747316,0.37916973,-0.16609105,-0.3998152
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-0.81332034,0.29534224,0.22736028,0.38748685,0.3636385,-0.9924637,-0.6174899,0.7583148,-0.77086145,0.42271915,0.27794257,0.027479954,0.6881106
3bHSDH%GENOME124823_1686,-0.49391165,-0.629049,0.6177509,0.80687594,0.33430347,-0.71407557,-0.1887046,1.0,-0.25484017,0.2784726,-0.38429034,-0.2545556,0.3813597
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-0.013136612,-0.59581524,0.80582875,1.0,0.12886745,-0.072441615,-0.06661106,0.042471163,0.23371612,-0.28663355,-0.5574874,-1.0,0.7134178
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,-0.62540746,-0.3223553,0.40125248,0.3388843,0.18178846,-0.6852448,0.018516405,0.60583335,-0.4120834,-0.019695131,-0.41651016,0.07250079,0.39832518
5AR%GENOME006039_2690,0.0057278173,-0.27199772,-0.3590277,-0.39850023,0.10670717,0.020964205,-0.18372633,-0.27228755,-0.024459733,0.043992806,0.58537596,0.6847112,-0.2730425
5AR%GENOME012336_2253,0.84083074,0.19491506,-0.77275425,-0.9176069,-0.5181751,0.57407206,1.0,-0.5528497,0.49416983,-0.6429739,-0.08097102,0.17223568,-0.12146451
5AR%GENOME078645_81,0.4270639,-0.7158093,-0.38445538,-0.07605084,-0.25760844,0.22396049,0.52072155,-0.46092078,0.3630056,0.36099768,-0.21321966,0.155741,-0.8154991
5AR%GENOME084343_2181,0.57953405,0.5624075,0.26953167,-0.14950427,-0.2936882,0.327872,0.61860055,-0.017071802,0.45960474,-0.6002715,-0.56902874,-0.92757046,0.44131956
5AR%GENOME086572_2986,0.29533374,-0.32503152,-0.30387747,0.08818756,-0.011889904,0.095686436,0.020570278,-0.12164556,-0.24201407,-0.41066518,-0.49186105,0.13020216,0.36429262
5AR%GENOME107567_81,-0.91961557,-0.10789388,0.61575925,0.43404382,0.69974285,-0.7981257,-0.9153378,0.68523246,-0.833151,0.17329411,-0.24395487,0.45655993,0.48925716
5AR%GENOME142018_414,0.5240566,0.69745815,-0.07041964,-0.2274712,-0.32727173,0.52774626,0.35694528,-0.30742547,0.38088238,-0.5386006,0.6133197,-0.34169632,-0.48376882
5AR%GENOME179594_130,-0.20319833,-0.042848878,0.122843176,0.58814865,-0.085602865,-0.110237055,-0.15479071,0.23420013,0.31144536,0.13201956,-0.93868035,0.4981963,-0.13808642
5AR%GENOME179896_434,0.39687607,-0.20731801,-0.07165228,-0.4905558,-0.07417102,0.46712753,-0.052336752,-0.49200287,0.059680387,-0.17325328,0.95525056,-0.73703,-0.1901012
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,-0.580291,0.291242,0.4987705,0.35600257,0.4147206,-0.5466065,-0.30011567,0.36237925,-0.31672338,0.004434432,-0.5246839,-0.909286,1.0
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0.4622433,0.23994248,0.011771329,0.46333688,0.030620405,0.18878445,-0.19819458,0.3774327,0.4581887,-0.5755667,-0.6753454,-0.67349046,-0.0671856
5AR%MBO5195293_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.1406342,-0.53908646,0.13936394,0.05914504,-0.25843042,0.10294534,0.5629723,0.68353766,0.1257437,0.3253573,-0.7663879,-0.54981315,-0.9511692
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,0.76949054,1.0,-0.5873004,-0.63767195,-0.40627483,0.75484645,0.10232755,-0.8694848,0.14532936,-0.75657386,0.372771,0.18764023,-0.31674019
5AR%MBR4740186_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,-0.6271968,-0.6741596,0.23674338,0.7854567,0.5061507,-0.5277985,-0.12260454,-0.19652918,-0.48053768,0.4603887,0.07730077,0.3540863,0.045524333
5AR%MCD7962281_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,-0.039279107,0.298547,-0.20021407,-0.35352778,-0.48470503,0.04769693,0.10996387,-0.13181907,-0.028764192,-0.4827345,0.7158993,0.53187835,-0.4156832
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,-0.0037013954,0.57607454,0.3220973,-0.08898481,-0.24272208,-0.06963654,-0.91634023,0.3847476,-0.26607594,0.45961502,0.24353497,-0.13683009,0.4137202
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.046379443,0.669511,-0.052281395,-0.050620575,-0.16955076,0.03147096,0.47398892,0.17496625,-0.16976191,-0.2915505,-0.14360307,-0.25563025,0.23047824
5AR%WP_035471352_1_MULTISPECIES__DUF1295_domain-containing_protein__Rikenellaceae_,0.06575339,0.44681758,-0.16360421,-0.27785358,-0.15756096,0.05875397,-0.011200281,0.28701365,-0.14715509,0.27121475,0.00889751,0.010238769,-0.19107224
5AR%WP_282194747_1_DUF1295_domain-containing_protein__Alistipes_ihumii_,0.10430781,-0.6259576,-0.41685382,-0.216196,-0.014644235,0.05744445,0.6556905,-1.0,-0.05437931,-0.08798392,0.7702894,0.1518416,0.18077387
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,0.44113955,0.20139182,-0.31228405,-0.21273428,-0.30509016,0.37079397,0.6212576,-0.15169427,0.5425111,0.20613864,-0.061312363,-0.87263626,-0.20358874
5AR%WP_302729833_1_DUF1295_domain-containing_protein__Bacteroides_sp__ET489_,0.024141304,-0.57610327,-0.13313396,-0.22724092,0.015052881,-0.016179543,-0.08395211,0.3651622,-0.29431492,0.27782997,0.103148244,0.29274932,0.16448551
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,-0.20132864,-0.6783406,0.31680757,0.3819553,0.68698716,-0.15438326,-0.4011962,0.35365015,-0.44486552,-0.10473745,0.18742687,0.42363256,-0.34740785
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,0.43297172,0.4197919,-0.30129075,-0.48563674,-0.05640881,0.41103533,-0.15167376,-0.35490477,0.6763143,0.5167594,-0.6102674,-0.19467632,-0.7957102
5BR%GENOME006024_4796,-0.78991276,-0.80520755,0.6830136,0.61322635,0.39846706,-0.5559411,-1.0,-0.081576906,0.15934806,0.6313776,-0.45938313,-0.19565076,0.9526319
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,-0.2611124,-0.7410246,0.3696873,0.4199017,0.5468315,-0.30130166,-0.52104443,0.05785577,-0.5109342,0.5636527,0.2057344,0.52898806,-0.26260325
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.9399767,0.8773475,-0.41487852,-0.8099148,-0.5181817,1.0,0.26027688,0.15964885,1.0,-0.41527295,-0.07410326,-1.0,-0.3703535
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.42390785,-0.26214674,0.3896467,0.28317076,0.091362655,-0.24566497,-0.092910066,0.17286666,-0.2219948,0.46742377,-0.14834292,-0.04082418,-0.21698487
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,-0.5207723,-0.55051863,0.48672515,0.34574556,0.15339057,-0.20369425,-0.026524048,-0.722691,-0.027175808,0.591938,-0.31781867,0.42627707,0.14859135
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,0.25959828,0.16074024,-0.24941137,-0.46855757,-0.32836145,0.27915308,0.122544125,-0.36654812,0.18839297,-0.19222347,0.49230593,0.28174818,-0.072974995
5BR%MCA9548846_1_NADH_flavin_oxidoreductase__Myxococcales_bacterium_,-0.06274177,-0.25654373,-0.0048495657,0.06627364,0.2337297,-0.13052262,0.49541122,0.029549843,-0.04558195,0.17198314,-0.18427727,-0.028221536,0.5011499
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,-0.5723245,-0.37527448,1.0,0.83894825,0.42802066,-0.61482173,-0.34740144,0.49548864,-1.0,0.10674583,-0.04604611,-0.41156235,0.554022
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.20294385,-0.23812878,0.050417513,-0.14193799,0.03266985,0.14249043,0.09210479,0.5202152,0.22097039,0.03474189,-0.49282867,-0.032868873,-0.4150973
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,-0.31276074,0.034154713,-0.10690656,0.1283641,0.17430863,-0.07291671,-0.027693074,-0.42065203,-0.46450603,0.89116323,0.64313,-0.1224141,-0.123518325
5BR%WP_071425025_1_NADH_flavin_oxidoreductase__Tidjanibacter_massiliensis_,-0.022833364,-0.2821183,0.08766592,0.06518225,-0.23804864,-0.13740069,0.38869658,0.8451387,-0.36765367,0.473172,-0.3509704,0.16728996,-0.10994707
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,0.17414916,0.13337696,0.24468666,0.40676734,-0.07047185,0.06234626,0.28145197,1.0,-0.1035641,0.33028162,-0.41944945,-1.0,-0.09576147
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0.42546308,0.12365305,-0.23001105,-0.5582485,-0.3240586,0.27641797,0.13721733,0.032319713,0.2761908,0.100383714,0.08036541,-0.41660514,-0.27104077
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.15681744,-0.012430224,0.26725686,0.12590563,0.08547516,-0.016925631,-0.14051096,0.062332124,-0.26473963,-0.15787037,0.61487436,0.135772,0.09654316
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,0.22536375,0.62147194,-0.34758472,-0.13645938,-0.06181512,0.112258956,0.20285624,-0.31014875,0.15667231,-0.13572152,-0.4059128,-0.2409571,-0.06544585
