Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,LCA,TCA,TCDCA,TDCA,UDCA
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.17743741,0.14821348,0.6456205,0.38891816,0.18644586,0.06999741,-0.9610154,-0.6890112,-0.16734463,0.24293967,-0.3280342,-0.5065201,-0.27193752,1.0,0.35718885
5BR%WP_300748828_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0.07222781,0.7657632,0.3299529,-0.00787257,-0.48420393,0.08211026,0.6140084,-0.030355927,0.99933577,1.0,0.16501926,-1.0,-0.74227273,-0.051301807,0.26333794
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.48558825,0.6108756,-0.944948,-1.0,-0.8576781,0.07512527,-0.44742537,0.84046304,0.29497126,-1.0,0.005910514,0.31395218,1.0,0.82526267,-0.60127103
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.5893953,-0.59358424,-0.1628838,-0.16893621,0.90757376,-0.8769686,1.0,-0.09746037,-0.10425846,1.0,-1.0,0.6356289,0.62238246,-0.72671694,-0.16885652
7aHSDH%GENOME011662_3430,0.45202175,0.7122248,0.79724395,0.5185179,-0.42701465,0.23359789,-0.17663892,0.123658836,0.16450371,-0.2003152,0.48512945,0.08142358,0.5388465,0.20401366,1.0
7aHSDH%GENOME018142_1887,-0.793442,1.0,0.19273673,0.004744344,1.0,-0.9149837,-0.8028602,0.9802692,-1.0,0.5425324,-0.06666236,-0.648289,0.30419105,-1.0,0.6255702
7aHSDH%GENOME025100_397,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9267145,1.0,-1.0,1.0,1.0,-1.0,0.41895258
7aHSDH%GENOME067790_2714,-0.17334415,0.9497526,-0.63824195,-0.6347166,-0.40622526,-0.22633435,-0.48862374,-0.49240044,-0.02786493,1.0,1.0,-0.506189,-0.29086792,-0.4902679,1.0
7aHSDH%GENOME070302_884,-1.0,0.17114343,1.0,0.5664612,1.0,-1.0,0.34316066,1.0,-1.0,0.14151172,-0.85612947,0.7459608,0.7461462,-1.0,1.0
7aHSDH%GENOME086444_1757,0.013311567,-0.59657365,0.011726499,-0.22678562,0.11976186,-0.16271108,0.20182593,-0.42512965,-0.8386108,1.0,0.89342606,1.0,-0.67147183,-0.34884325,-0.45813903
7aHSDH%GENOME103762_694,1.0,0.48795915,-1.0,-1.0,-0.7134003,1.0,-0.6861228,-0.38862252,0.54750854,0.36986828,1.0,-1.0,-1.0,1.0,-0.5355487
