Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,LCA,TCA,TCDCA,TDCA,UDCA
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-0.0718431,0.020710338,0.012739687,0.023402402,0.028888874,-0.08523603,0.038530495,0.06314029,-0.055751137,0.06431058,-0.069099754,0.026950717,0.036470383,0.016767275,0.05382713
3bHSDH%GENOME124823_1686,-0.04357384,-0.05945013,0.052032355,0.07033214,0.028495902,-0.06149878,0.016520113,-0.0174303,-0.01849778,0.08978946,-0.030033698,0.05522972,0.022288509,-0.033652913,0.030341296
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-0.0032131893,-0.048758384,0.074902065,0.09705445,0.011670279,-0.0061776494,0.048837222,-0.008110726,0.0011042121,0.0030380501,0.01906371,-0.018773535,-0.030039718,-0.050176807,0.062474642
5AR%GENOME012336_2253,0.07340849,0.022835985,-0.0650256,-0.08128691,-0.04669119,0.05433258,-0.04076176,-0.024221389,0.10015538,-0.044018947,0.046791755,-0.03839606,-0.053405758,0.0028139628,-0.005610412
5AR%GENOME021742_2120,0.023997255,-0.004993434,-0.009637362,-0.020302916,-0.019622123,0.025779411,0.049866512,0.023372801,0.042564336,-0.005144964,0.037497357,-0.01911614,-0.033839203,-0.015912795,-0.0010361384
5AR%GENOME078645_81,0.033282712,-0.05996819,-0.037515443,-0.0072453297,-0.022829039,0.016728353,0.031457495,0.006890778,0.040960055,-0.043238822,0.027268436,-0.004961077,0.03181705,-0.020285916,-0.074201286
5AR%GENOME107567_81,-0.079444624,-0.010535355,0.049298864,0.035125345,0.057351764,-0.06992199,0.06659031,0.021015603,-0.078919664,0.056437545,-0.07056068,0.019617999,0.0133516025,-0.027463097,0.039821893
5AR%GENOME142018_414,0.047685727,0.060658008,-0.001985573,-0.018023707,-0.029997712,0.049362015,-0.01801128,-0.029284935,0.03500686,-0.026966283,0.036933675,-0.027220257,-0.050353132,0.05607183,-0.03515433
5AR%GENOME170052_106,-0.0059529184,0.028453898,0.016086679,-0.010400805,-0.030420251,-0.0015570878,0.041858923,-0.0017885991,-0.00091104524,-0.015433276,0.00042048522,-0.004215489,0.010918456,-0.0013257266,0.020947672
5AR%GENOME179896_434,0.027247567,-0.015424696,-0.0047393744,-0.044510685,-0.004039633,0.03308793,-0.022241186,0.032604083,-0.0035114228,-0.041245498,0.00448064,-0.013889812,-0.011988524,0.07315472,-0.017976854
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0.039393634,0.02649624,0.008033545,0.05100558,0.00889022,0.020476,0.028810171,0.025242314,-0.008327163,0.037052717,0.04391325,-0.10016439,-0.057198323,-0.05905496,0.0009270367
5AR%MBO5195293_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.00621676,-0.055620342,0.002494604,-0.0064405147,-0.030688139,0.0009035276,0.06948598,0.053319756,0.04003816,0.052555274,0.0021455633,0.048974108,0.028033076,-0.064943805,-0.09543917
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,0.064569846,0.09767444,-0.055591572,-0.06121516,-0.037615363,0.062037587,-0.05005191,-0.0068229204,0.009950023,-0.076741785,0.017814873,0.016154418,-0.063807145,0.038777694,-0.029248692
5AR%MCD7962281_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,-0.008667176,0.022730604,-0.020901918,-0.035106447,-0.04023092,-0.0013417182,0.03488857,0.0155992685,0.005195292,-0.014956957,-0.008291096,0.012651405,-0.04348278,0.05849077,-0.042375818
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,-2.6887907e-05,0.04394391,0.03266524,-0.0031354781,-0.014733684,-0.003584305,-0.07138274,-0.07851472,-0.072218806,0.03552436,-0.017774295,0.034712978,0.042863358,0.03001903,0.042126507
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.009949696,0.057294246,-0.0018453016,0.001106068,-0.01794914,0.008607987,-0.0012662554,-0.03626976,0.0393041,0.018641455,-0.0054900404,-0.01693196,-0.0289465,-0.00837177,0.027950587
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-0.032347307,-0.0016174268,0.031696167,0.0040304633,0.008154779,-0.043000218,0.03559662,-0.018965948,-0.043250855,-0.030323073,-0.030364674,0.068531364,0.07017228,-0.016968682,0.023319637
5AR%WP_005657188_1_DUF1295_domain-containing_protein__Bacteroides_stercoris_,-0.026645057,-0.027610037,0.0041210135,0.008748714,0.033977352,-0.024528097,-0.01722241,0.027767397,-0.026912238,-0.015289362,0.015448629,0.019631805,-0.0017980922,-0.00023964499,-0.020749576
5AR%WP_282194747_1_DUF1295_domain-containing_protein__Alistipes_ihumii_,0.009868652,-0.049261175,-0.033858057,-0.014860761,-0.002070706,0.0076652374,0.0009956033,-0.025417922,0.05650616,-0.09749213,-1.6759996e-05,-0.010625341,-0.006651503,0.061517566,0.017344136
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,0.03497202,0.019630382,-0.030240485,-0.016927209,-0.027154947,0.02881434,0.03964639,0.02475743,0.052138075,-0.009993564,0.04212813,-0.018465439,0.018317156,-0.012434946,-0.017374368
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,-0.01465361,-0.05284512,0.031879097,0.035984494,0.060234398,-0.011397301,-0.017216131,-0.030634789,-0.030667609,0.030400358,-0.03241695,0.011834849,-0.012029228,0.017741315,-0.030084677
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,-0.06915461,-0.026483895,-0.020703657,0.0050521586,0.052263137,-0.057345666,0.008178861,0.03264463,-0.049782068,-0.011169898,-0.051744625,0.06961333,0.09808691,-0.002026814,-0.008052778
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,0.035886224,0.037286676,-0.027360858,-0.04307711,-0.0038093023,0.03291831,-0.00065780827,0.06063262,-0.007598596,-0.03054889,0.055589307,-0.05048532,0.049131397,-0.057510406,-0.07054934
5BR%GENOME006024_4796,-0.061747268,-0.07028809,0.059838224,0.052600216,0.034811497,-0.046824288,0.0005058936,0.04105115,-0.0862925,-0.013242369,0.007535754,0.0006612726,0.054983396,-0.043393902,0.08021713
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.034172334,-0.025878353,0.031016322,0.02215862,0.0059118276,-0.022766514,-0.018856801,0.0032250797,-0.012679797,0.012362803,-0.020350166,0.036310118,0.039571173,-0.009076184,-0.023755116
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,-0.04169326,-0.046205726,0.04249336,0.032398857,0.015767507,-0.019903988,-0.057255767,-0.022327755,-0.0066721933,-0.06555421,-0.005264121,0.03398235,0.05685903,-0.021675278,0.01595103
5BR%MCA9548846_1_NADH_flavin_oxidoreductase__Myxococcales_bacterium_,-0.010314984,-0.020017834,-0.0034445266,0.0033997828,0.020632882,-0.015367241,0.053468443,0.08764516,0.036080636,0.0016611537,-0.0061177127,-0.029499477,0.010991847,-0.025853083,0.041010156
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,-0.04982201,-0.031524643,0.091923974,0.08080158,0.03510004,-0.049963623,0.0044244137,-0.047511905,-0.029339004,0.042842574,-0.09315436,0.02019685,0.00942493,8.917987e-06,0.054266296
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.011964819,-0.028875181,-0.002811201,-0.021442212,-0.0017795314,0.0043721814,0.02493935,0.032255955,0.0011434708,0.042374752,0.006392083,0.060618438,0.0021852741,-0.040763758,-0.04479894
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,-0.02681519,-3.8667007e-05,-0.0080743255,0.014315223,0.014988692,-0.008515734,-0.040762395,-0.03181106,-0.0062945876,-0.042660877,-0.039656498,0.06421249,0.07785313,0.053101026,-0.011828163
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.031208819,-0.041765407,-0.010504376,0.0068072756,0.004367383,-0.045808207,0.00844904,0.025935628,-0.01084324,0.036974423,-0.04509539,0.017172942,0.07935121,-0.042215962,0.048076317
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,0.030245863,0.026407108,-0.017735215,-0.023925269,-0.039485786,0.024960544,0.022662187,-0.05538079,0.025882548,-0.023425415,0.03945406,-0.030443465,-0.029986985,-0.05426366,0.06869499
5BR%WP_071425025_1_NADH_flavin_oxidoreductase__Tidjanibacter_massiliensis_,-0.0060761888,-0.024749706,0.003980867,0.00026819314,-0.021392139,-0.015856382,0.01619954,0.0048032384,0.026741343,0.07491835,-0.035759393,0.025260987,0.04305184,-0.028158389,-0.011750119
5BR%WP_259010233_1_NADH_flavin_oxidoreductase__Parabacteroides_distasonis_,0.017204516,0.055809714,0.007071105,-0.0010385157,-0.027313676,0.023044756,-0.06862691,-0.06014462,0.007663751,-0.011658853,0.048018068,-0.02123028,0.011978636,0.016891025,0.009019451
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,0.007860356,0.008753074,0.021107715,0.03725542,-0.002774974,-0.00085023657,0.0042840685,0.018059071,0.015160116,0.11464929,-0.013460195,0.024115302,0.03130423,-0.03706545,-0.009208385
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0.037312903,0.01557142,-0.020287028,-0.04969747,-0.0313481,0.027490176,-0.018327558,-0.0060204836,0.015997883,0.0057048704,0.026501233,-0.011148962,0.0095607275,0.009038347,-0.026398294
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.008170314,0.0068246634,0.029728355,0.017908193,0.008585119,0.003223113,-0.044251084,-0.03172633,-0.0077055804,0.011186442,-0.01510472,-0.023323312,-0.012521683,0.04783455,0.01644718
5BR%WP_300748828_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0.0033258146,0.03526047,0.015193069,-0.00036250174,-0.02229574,0.0037808635,0.028272739,-0.0013977743,0.04601559,0.059101816,0.007598506,-0.05351624,-0.03417882,-0.002362252,0.012125704
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.022359481,0.028128486,-0.04351124,-0.052543722,-0.039492797,0.0034592315,-0.020602226,0.038700107,0.013582298,-0.054297835,0.00027215655,0.014456297,0.07428717,0.03800019,-0.02768623
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.027139397,-0.027332284,-0.0075001763,-0.007778866,0.0417903,-0.04038105,0.05303409,-0.004487677,-0.0048007034,0.071850345,-0.061866604,0.02926828,0.028658332,-0.033462536,-0.007775197
7aHSDH%GENOME011662_3430,0.020813873,0.032795228,0.036710035,0.023875766,-0.019662391,0.01075629,-0.008133546,0.0056940163,0.007574767,-0.009223749,0.022338355,0.0037492446,0.024811821,0.009394049,0.04929894
7aHSDH%GENOME018142_1887,-0.03653497,0.08683866,0.008874789,0.0002184589,0.047955345,-0.0421315,-0.03696864,0.045137648,-0.053312182,0.024981542,-0.003069547,-0.02985123,0.0140068345,-0.05737569,0.028805114
7aHSDH%GENOME025100_397,-0.06526721,-0.06862426,0.05039154,0.057017136,0.07803412,-0.089497045,0.07461479,0.07725665,-0.042671658,0.04787125,-0.09544372,0.053228416,0.05763367,-0.09078947,0.019291164
7aHSDH%GENOME067790_2714,-0.007981835,0.043732475,-0.0293886,-0.02922627,-0.01870512,-0.010421831,-0.022499254,-0.022673156,-0.0012830734,0.0690127,0.0764565,-0.023308067,-0.0133933555,-0.022574961,0.047896184
7aHSDH%GENOME070302_884,-0.08032483,0.0078805005,0.04760483,0.026083373,0.04690991,-0.08046211,0.015801236,0.069169685,-0.04720656,0.006516074,-0.039421488,0.03434864,0.03435718,-0.0522966,0.07463379
7aHSDH%GENOME086444_1757,0.00061294675,-0.027469935,0.0005399604,-0.01044261,0.0055145756,-0.007492223,0.009293312,-0.019575594,-0.03861482,0.06817112,0.041138854,0.06006707,-0.03091871,-0.016062897,-0.02109555
7aHSDH%GENOME103762_694,0.061904464,0.022468653,-0.05686886,-0.046849266,-0.032849357,0.049099192,-0.03159333,-0.017894581,0.025210673,0.01703102,0.066390015,-0.0883861,-0.05056191,0.049062684,-0.024659969
7aHSDH%GENOME122758_282,-0.048634127,-0.10359354,0.053056765,0.05720593,0.07123498,-0.056640726,0.035367087,0.0019675493,-0.057433918,-0.0024820976,-0.063670024,0.056982473,0.011956627,0.011386704,6.094167e-05
7aHSDH%GENOME215422_1346,-0.046642013,-0.0029171393,0.010599895,-0.0035607633,0.07574481,-0.027655547,0.01837341,0.047429916,-0.022071922,0.032642838,-0.03690773,0.016649835,0.0023106534,-0.028075008,0.031978723
7aHSDH%MBE5948790_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.027459793,0.0011997164,0.018818155,-0.004997251,-0.00035219744,-0.026044937,0.023177171,0.012457461,0.011743765,-0.015524217,-0.028185217,0.01690872,0.116420195,-0.0037606307,-0.014134717
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,-0.033500064,-0.005873509,0.032318614,0.055300668,0.06293806,-0.054676164,-0.010338981,0.018593488,-0.083219826,0.062224552,-0.0440282,0.036754597,0.045656413,-0.030585509,0.02452027
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0.014478645,0.021302331,-0.02095599,-0.0008064697,0.0018899728,0.0153234685,0.011366952,-0.026434513,0.003276529,-0.042737685,0.016087297,-0.00975191,-0.026075065,0.02286038,-0.018174846
7aHSDH%MCI9468093_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.011023073,-0.017591964,0.0059156404,0.018238822,0.018029457,-0.021042997,0.004161634,-0.0034880275,-0.017878622,-0.025220565,-0.014479166,0.014061763,0.03019207,-0.04206708,-0.005296379
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,-0.06180688,-0.009204014,0.043992415,0.05734544,0.0688483,-0.059679095,0.021750571,0.013698095,-0.05640118,-0.0016563424,-0.08800826,0.027420664,0.041422915,-0.0018432541,0.044943005
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,0.01829239,0.0019829671,-0.05977294,-0.07816324,-0.021804284,0.031089729,-0.080840215,-0.02015623,-0.004213834,-0.019287253,0.011672752,-0.000664265,-0.016213892,0.06934828,-0.029986758
7aHSDH%WP_303013929_1_7alpha-hydroxysteroid_dehydrogenase__uncultured_Bacteroides_sp__,0.016175581,0.036389492,0.013209181,0.020543447,-0.003967079,0.023639757,-0.0891242,-0.051663823,-0.012047576,-0.023265684,0.011944893,-0.010850259,-0.072141945,0.0072361785,0.06907774
7aHSDH%WP_342232791_1_7alpha-hydroxysteroid_dehydrogenase__Pseudoflavonifractor_phocaeensis_,0.0051588463,0.011406639,-0.005031957,-0.04378624,-0.03532499,0.0028519384,-0.0050924416,0.05227953,0.020783627,-0.021388454,-0.000101914135,0.01330173,-0.05644096,0.00637804,0.009947387
BSH1%UPI0001DE6025,-0.03038619,0.037071463,0.03353374,0.02738543,0.041670956,-0.02415444,0.04406528,0.031486403,-0.03788953,0.024243804,-0.04096995,-0.024949644,0.047997817,-0.024942491,0.034778785
BSH1%UPI0002624191,-0.04636686,-0.091657154,0.025828622,0.03390594,0.088828765,-0.048097547,0.036982846,0.01525465,-0.035439298,0.01776581,-0.06695798,0.06897588,0.03326247,0.013976834,-0.059261292
