Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoLCA
BSH2%UPI0004B97954,-0.26936898,0.17346355,-0.38767743,-0.8613212,-0.00883726,1.0,-0.34035325,0.61696947,0.55940855,0.731366,-1.0,-1.0,-0.4919502,0.34726414,-0.8775993,-0.25234866,0.34749654,0.12990639,-0.15852267,0.15796229,0.7365112,0.14151786,0.57335603,-1.0,1.0,0.9669897,0.118982166,0.4546549,1.0,0.106853314,-1.0,-0.4187773,0.11639308
BSH2%UPI000508CF7A,-1.0,-1.0,1.0,-1.0,1.0,-0.8758181,0.029074535,-1.0,1.0,1.0,-0.20360033,-1.0,-0.8298693,-0.35656312,1.0,0.6837035,1.0,-1.0,-0.67418706,1.0,1.0,0.34288055,0.2426704,-0.7350339,-0.38630098,1.0,-0.928815,1.0,-1.0,0.29513952,0.8016556,1.0,-1.0
BSH2%UPI00050FFCF5,0.3540767,0.2717144,-0.39557618,-0.23991941,1.0,0.069977716,0.7866148,0.39471278,-0.6350484,-0.64137274,0.008663157,-0.5980595,0.27288365,-1.0,0.58655727,0.91967154,1.0,0.16843012,0.064041674,0.12845737,0.27937013,-0.48815718,-0.39427066,-1.0,-0.7857033,0.99810493,0.5903938,0.28939682,-0.17383915,-0.5147243,-0.49726006,-0.3988187,0.12126937
BSH2%UPI0005738721,-0.25072232,-0.39183718,1.0,0.25276083,0.24028562,-1.0,-0.16550587,-0.16466461,1.0,0.78540874,-0.24482092,-0.5857334,-0.2081349,0.7013044,0.27546158,-0.45167726,-1.0,-0.46048987,-0.28641436,-0.20169121,0.26575065,-0.49044767,1.0,0.26811394,0.8521873,-0.08635954,-1.0,-0.21415111,-0.9953443,0.52263737,0.9891172,0.28553978,-0.26590544
BSH2%UPI0005D317A6,-1.0,-1.0,1.0,-0.76750964,1.0,-0.6572067,0.99206173,-1.0,0.99587417,0.65082717,-1.0,-0.773388,-0.84810466,1.0,0.73773974,1.0,1.0,-1.0,-1.0,1.0,0.90861714,-0.31238085,-0.7407701,-0.89459485,-0.37581652,1.0,-0.22342134,1.0,-1.0,0.64283633,0.55090404,1.0,-1.0
BSH2%UPI0005DCCFF2,1.0,1.0,-1.0,1.0,-1.0,0.024019234,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-0.17391165,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
BSH2%UPI0006649122,-0.90452737,-0.8678082,0.70382845,-1.0,0.78768724,-0.049775764,1.0,-1.0,1.0,0.9534543,-1.0,-1.0,-1.0,-0.50048023,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.7922964,-0.69500643,0.4401729,1.0,-1.0,1.0,-0.78506845,1.0,-0.03284901,-0.060194,-0.8795715
BSH2%UPI0006A496D2,-0.75544,-0.7035774,0.77490854,0.47616515,-1.0,0.6912233,-1.0,0.57878256,1.0,1.0,-1.0,0.48586178,0.42631194,1.0,-0.47113538,0.12942246,0.21107626,0.018350687,-0.9272604,-0.43036243,-1.0,0.19646052,0.76009977,-0.007289282,0.18759915,-1.0,0.30856243,1.0,-1.0,-0.52376497,0.09679828,0.73512393,-0.30630612
BSH2%UPI0006BFFEB7,-0.9676247,-0.46928668,-0.85826474,-0.056069255,0.31199956,-1.0,0.14711064,0.318485,0.34205538,0.43812725,0.2864883,0.5733236,-0.1020277,0.4516779,-0.5515605,-0.49339667,-0.4604902,0.9358726,0.26258242,-1.0,-1.0,0.32274878,1.0,1.0,1.0,-0.17791037,0.9861327,-1.0,-0.30794528,-0.9673458,-1.0,-0.83741856,-0.15892433
BSH2%UPI0006C043E9,0.40169424,-0.0257143,0.38395116,-1.0,-0.55205697,-0.05943176,-0.17285538,-0.3389914,0.69502795,0.46425125,-1.0,-1.0,0.23671876,0.6899002,1.0,-0.05068737,0.6103911,-0.6737772,-0.40357038,0.16451973,0.24562564,-1.0,0.3509958,-1.0,-0.44654655,0.51518494,-1.0,1.0,0.32996204,0.42588645,0.5160569,1.0,0.005640839
