Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoLCA
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.06480053,0.06107491,-0.007795499,0.035263285,-0.040894307,-0.040027056,-0.012458822,0.017396031,-0.05236573,-0.038356207,0.048746977,0.0321916,0.014160408,0.017018551,-0.049501583,-0.02515757,-0.0392504,0.04977065,0.035235085,-0.019345544,-0.06317145,0.045307826,-0.10624764,-0.025005726,-0.04968021,-0.03827461,0.028972626,-0.05997597,0.03084216,-0.028411813,0.11290008,0.030999854,0.059763607
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.036249027,-0.04400195,0.063008964,0.0044653104,0.06216304,-0.046741616,0.0843742,-0.035397176,0.028917937,0.04864168,-0.05195516,-0.027570093,-0.06716168,0.019682497,0.0033767258,0.06045398,0.02834558,-0.04366698,-0.06143708,0.07583645,0.05928838,-0.03608711,-0.051403534,-0.020612225,-0.07248857,0.067088716,-0.052599452,0.058693595,-0.08162966,0.10705804,0.028230911,0.049180325,-0.04523351
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.04283208,-0.061409883,0.112534516,-0.04693171,0.07802165,0.016684052,0.040794645,-0.073517635,0.04281155,0.015416236,-0.036094867,-0.017563522,-0.016110262,0.12627126,0.016674222,0.068661064,0.049916074,-0.053274717,-0.06762826,0.03939325,0.017802833,-0.060368303,-0.0074914666,-0.021734776,-0.10609398,0.061568692,-0.073431715,-0.02611638,-0.049136415,0.027710227,0.09463957,0.07015959,-0.05958738
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,-0.10599575,-0.03318591,-0.020117171,0.048873667,-0.011068744,0.026187003,0.021920163,0.02824448,0.0717996,0.0591644,-0.0970927,-0.079982765,0.02780405,0.09972041,0.025936244,-0.022147603,0.072516516,-0.052177757,-0.063138984,0.10500604,0.13613473,0.009440507,0.115524605,-0.11934829,-0.049208965,-0.018601075,-0.0643911,0.034582518,0.05887632,0.03981766,-0.13113044,-0.079592064,-0.011498889
3aHSDH%3aHSDH%MED9821234_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-0.041750517,-0.029339753,0.040930666,0.012539568,0.014324502,0.019521473,0.0351647,-0.00015942715,0.022283787,0.025755348,-0.043511745,-0.06413479,-0.021048697,-0.00518531,0.00977535,0.036749426,0.07624268,-0.024473155,-0.04334884,0.064370334,0.056029893,0.007196301,0.002511133,-0.07577824,-0.08002213,0.0036030572,0.007826012,0.060317107,0.007638622,0.06394557,-0.027749192,0.0038619442,-0.033579048
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,-0.017327908,-0.027661296,0.050516874,-0.01494196,0.034288313,-0.057532586,0.07446447,-0.011566653,-0.016657956,-0.020789199,-0.028405933,-0.033447787,-0.013841766,0.026250632,0.052380636,0.061776947,0.059250962,-0.013445365,-0.04187148,0.014469636,-0.0005851845,-0.033812728,-0.05270832,0.007031888,-0.0005369132,0.030753246,-0.028798725,0.008491191,-0.08186901,0.030656898,0.0715735,0.03908875,-0.019752137
3aHSDH%3aHSDH%WP_117548394_1_SDR_family_NAD(P)-dependent_oxidoreductase__Longicatena_caecimuris_,0.050644062,0.057966527,-0.07302887,0.026632674,-0.034575917,-0.01697373,-0.03645328,0.013452164,-0.04245424,-0.007792943,0.028877562,0.03850425,0.014827416,-0.020616632,-0.08854464,-0.017738808,0.025301125,0.0051019685,0.048694644,-0.05109887,-0.0045571527,-0.0060271956,0.001501828,0.045516968,0.10798903,0.0017528838,-0.025830703,-0.06355091,0.013261463,-0.04697941,-0.05845901,-0.041040268,0.041813783
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,-0.019778207,-0.026480673,0.022184378,0.018140882,0.027554242,0.027435487,0.022463417,-0.0021010975,-0.0106277475,-0.038267955,-0.012578194,-0.00389504,-0.017617175,-0.045591723,0.04387149,0.05551376,0.05015223,-0.005904728,-0.02654688,-0.020102303,-0.021816514,-0.018917225,0.004682684,0.032330766,0.035572294,0.017433066,0.021201039,-0.0007875548,-0.0024699299,0.0062096776,-0.047027778,0.012536402,-0.035732105
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,0.06382381,0.052103654,-0.01949329,0.014336214,-0.11695454,-0.066127785,-0.075780116,-0.0036088796,-0.02403165,-0.013445928,0.063741654,0.0878113,0.035852678,0.035124823,-0.11836774,-0.07123214,-0.07817416,0.037247345,0.06702807,-0.064508066,-0.054575227,-0.009034935,0.007775011,0.107823685,0.08934834,-0.08079237,-0.027422456,-0.06634036,-0.0012445236,-0.0426044,0.03548031,0.030014725,0.04350177
3aHSDH%3aHSDH%WP_270387972_1_SDR_family_NAD(P)-dependent_oxidoreductase__Blautia_hansenii_,-0.09382026,-0.059687525,0.04710707,-0.068549536,0.0094912145,0.07916019,0.03619297,-0.05999419,0.022386014,0.033588827,-0.07416607,-0.04833198,-0.08473135,0.017315237,0.0065256893,0.05456201,0.07341478,-0.052440595,-0.09667171,0.093864985,0.109852485,0.019312376,0.015932137,0.023249475,0.032709587,0.020900996,-0.012478732,0.05483595,-0.0069968533,0.10523074,-0.039077736,-0.018075414,-0.057100877
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,-0.071640946,-0.06950469,0.033435263,-0.005649732,-0.036034904,0.002239343,-0.09595727,-0.06317233,0.08395423,0.060764212,-0.0057568806,0.041845463,0.018079093,0.23450795,-0.045204125,-0.053520594,-0.06755189,-0.07780797,-0.011524273,0.0022902645,-0.016813524,-0.07917662,0.11167386,0.08007968,0.06768752,-0.055156417,-0.06874884,-0.032301117,-0.01420008,-0.060739115,0.1870183,0.013037035,-0.045957137
