Samples,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
Thr_DCA,0.3463666812290666,0.3803722337312157,0.39188592473588035,0.38751015844830583,0.4004953564734565,0.36575581204169544,0.34917464075499,0.38968160017286985,0.37744566110946703,0.3923732953771427,0.37810613640740903
UDCA,0.29258327578836607,0.2924388261766184,0.43433649478337255,0.3168179277235211,0.3553096388994584,0.31065239551478085,0.4219420134631736,0.2961064370505034,0.37381915378364033,0.37313918366004784,0.3467145346843482
TCDCA,0.3466086049690667,0.3310315346420703,0.311263076800218,0.3304314228404196,0.34132151430168595,0.3404642117278992,0.3323985212117796,0.3193088027358522,0.35574181334761396,0.31057136280575165,0.3319140865382357
Phe_DCA,0.3358841020871208,0.33719824123789793,0.3092865833321589,0.3186652386119685,0.31953311066954154,0.3262329890030394,0.33337796004265374,0.32878493214391413,0.32978198678109893,0.31891538306158024,0.3257660526970974
Trp_DCA,0.38960761378636494,0.36195079787858714,0.3048015990454582,0.3099172291980815,0.2925586136595311,0.31600525185905476,0.2995978898612814,0.33090235206245866,0.29312936578399734,0.29994550843914564,0.3198416221573961
Trp_CA,0.3197550698290562,0.3214931627183773,0.29118692954147235,0.31697059804488037,0.33184655928071144,0.30226139977545724,0.32810143885905946,0.3215824161370181,0.34362213860586166,0.30270884125574865,0.31795285540476426
GLCA,0.3019513615843891,0.22642887676921417,0.32086486562662947,0.2921851585657446,0.3146042080638115,0.30324318738050615,0.3182917835181818,0.2902051419364234,0.2564344668517501,0.26638035109476366,0.2890589401391414
Phe_CDCA,0.22623745167397136,0.15230273820093293,0.1734229155803586,0.2132052781653255,0.2026898161849331,0.1940698149635705,0.25291365436378754,0.22186520854765898,0.18540401264580017,0.20283778895794288,0.20249486792842813
GUDCA,0.12856602639082665,0.10123803886751503,0.15897443124433358,0.15865382356947907,0.16005134420346023,0.16487337758423878,0.2041495793345453,0.12985667779985627,0.13652837084325692,0.12783438323538945,0.14707260530729013
TDCA,0.09198621739314253,0.07052194459711476,0.15740192693433297,0.0859815762153732,0.10184049944334052,0.09755281218731943,0.05612983084128393,0.11927192698130847,0.0599524608107029,0.07748723441236019,0.0918126429816279
TLCA,0.08748009413886892,0.06462299825720956,0.07794524537643804,0.07768805460430202,0.09019880024615154,0.08671439375789775,0.05171413539273853,0.06427068213099583,0.06744505042818154,0.06438224890429685,0.07324617032370806
Asn_DCA,0.015526571682239039,0.018244103402434268,0.03663735396496569,0.009784993212042636,0.05588086077875957,0.005476166988448729,0.03926445787943273,0.03226158767739117,0.012878328800199177,0.030303884402730217,0.025625830878864324
