Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,HCA,LCA,TCA,TCDCA,TDCA,TLCA,UDCA
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,-0.025804283,-0.101613,0.06342261,0.107943535,0.039968383,-0.063439175,0.030574612,0.029209094,-0.08932131,-0.03170764,-0.07569168,-0.07462195,0.08515384,0.13982101,0.122391135,0.056069545,-0.003941169
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,-0.11572873,-0.08317453,0.0072791274,0.011206456,0.061029524,-0.015346386,0.0906412,0.020689053,-0.025388855,-0.058288597,-0.038343936,-0.029274302,0.09256313,-0.018657792,-0.04460784,0.07985889,-0.0137482
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,-0.06446376,0.071802415,-0.101202525,-0.07888135,-0.0699728,-0.057599556,0.040529333,0.066242024,0.039223514,0.019043613,0.026088774,-0.00084303744,0.025745556,0.03696618,0.010289899,-0.008236376,-0.063097246
5BR%GENOME006024_4796,-0.15866274,-0.033410452,-0.017887484,-0.059958234,-0.026644731,-0.0020452768,0.14484587,0.057848386,0.046077095,-0.13380094,0.054578457,0.05292314,0.09407717,-0.07893899,-0.09740414,0.1225559,-0.10088254
5BR%GENOME141824_1849,-0.13738969,-0.057641137,0.004104489,0.037900433,0.028575134,-0.16272192,0.1548312,0.2086739,0.0120382765,-0.074893035,-0.05708895,-0.104487315,0.12899826,0.11607786,-0.02153898,-0.06575482,-0.13481565
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,0.25819308,-0.050518755,0.11688062,0.046261977,0.018420983,0.19836615,-0.22823463,-0.24287313,-0.07676636,0.0804489,0.057299703,0.11225294,-0.11797908,-0.10271351,-0.012918521,-0.10469899,0.2459611
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.030473359,0.036182724,0.056804165,0.05368041,0.04660367,-0.0320681,0.02666419,0.019319447,-0.05189189,-0.06576927,-0.054546814,-0.07660163,0.029163515,-0.0075569474,-0.03166043,0.031223252,0.021988058
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.13030033,0.014215803,-0.14217672,-0.09116325,-0.10362944,-0.11297612,0.09979381,0.13284631,0.10874497,0.03590552,-0.0031350192,-0.036974512,0.07159906,0.13837369,0.10481248,0.03239623,-0.1561285
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,-0.1131025,-0.05511122,0.02275021,0.0010497546,0.091792114,-0.015706414,0.046202112,5.3709726e-05,-0.05112896,-0.10272477,-0.0122960415,0.021444865,0.07627514,-0.07822318,-0.020617586,0.12584591,0.014932367
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,0.055603966,0.08388409,0.025852153,0.021574695,0.029259898,0.059581958,-0.065933935,-0.093432814,-0.05436446,-0.025967523,-0.012825923,0.004088146,-0.046633363,-0.093957804,0.0041031004,-0.029545793,0.09370981
