SampleID,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
Asp_DCA,0.31933983619376877,0.38836893443635007,0.4721982137712475,0.5326336584763551,0.38757871342141004,0.23802938634399307,0.4417417788204305,0.4884965222043874,0.44745441824093507,0.37304193933407415,0.4088883401242951
Thr_CDCA,0.4804626085524962,0.38479647693130836,0.3738486232868255,0.3868543441577149,0.5703173231263119,0.31384121496481043,0.36337819483886896,0.3205087047783677,0.5144750380705436,0.33277359344775076,0.4041256122154998
Thr_CA,0.307223113964687,0.4498909330370004,0.46936658846771206,0.3771741367246985,0.40912869901633947,0.3636745277194715,0.3855866979462485,0.42196979050911626,0.36425073054286533,0.450121414166358,0.39983866320944966
GCA,0.4011771000535045,0.3877927316129563,0.38542206856813593,0.32506893855208463,0.37865580112771124,0.35639790920689796,0.5414742560809976,0.3761040457669671,0.4977157673786887,0.3472774416594641,0.3997086060007409
Trp_CDCA,0.28249578137218584,0.4514055233156356,0.3530559328312137,0.3424208750051446,0.4621558217063835,0.3385026958060666,0.29806972054163067,0.33669177264682876,0.3819154628143392,0.5039387578713421,0.3750652343910771
TCDCA,0.4185454994443758,0.45724986623863023,0.4362102317158497,0.3965180886529201,0.32671523233320987,0.20969667037082765,0.43122196155904025,0.34689879408980534,0.34065934065934067,0.37962711445857505,0.3743342799522575
Glu_CA,0.3079968720418158,0.23391365189117996,0.3313907066716055,0.508498991645059,0.377075359097831,0.45336461291517466,0.2573898012100259,0.42718854179528337,0.431534757377454,0.40916162489196195,0.37375149195373913
DCA,0.4340865127381981,0.4475202699921801,0.3826892208914681,0.2821994484915833,0.42299049265341393,0.4117298431905173,0.34153187636333704,0.3696341112071449,0.2488949252994197,0.2028316253035354,0.3544108326130798
Phe_DCA,0.3252006420545746,0.3677079474832284,0.40549038976005264,0.3279828785446762,0.42374778779273164,0.46390089311437627,0.35634852039346415,0.2642713092151295,0.3163600444499321,0.27683253076511505,0.35278429435732805
GCDCA,0.27862699098654153,0.35649668683376545,0.34856155080874185,0.4594888257809606,0.3741778820430505,0.2434127670082726,0.3382228258632753,0.39969543565049176,0.3395069350125529,0.2966539078898629,0.3434843807877515
Met_CA,0.4832283821047866,0.36224225212989253,0.19382639832078033,0.37304193933407415,0.35774787010742065,0.2930649874470099,0.42643124665596566,0.15918837716590523,0.26855167304605504,0.4889410215252912,0.3406264147837181
Lys_CDCA,0.43313166234514544,0.3698481293986912,0.3034531012059102,0.3297773387661028,0.36625920895583813,0.3273078980944149,0.1811663991439272,0.36510680330905043,0.2818372638597358,0.3308474297238342,0.328873523480265
His_DCA,0.29507346585998273,0.278659916862164,0.24423591389883523,0.20890644935588754,0.34115322879367815,0.4801004239206486,0.49378112524179935,0.2043956043956044,0.4129974894019838,0.2608634810882002,0.32201670988187836
Phe_CDCA,0.13482322920525167,0.4345145491212907,0.46154669300736706,0.2834341688274272,0.348051199736593,0.05450055562415112,0.5524056467876691,0.3540272461620776,0.17950364242499073,0.41704737210355186,0.321985430300037
GLCA,0.31533934230563443,0.15737745400666747,0.2730295921307157,0.4563608675968226,0.35791249948553316,0.36043132897065483,0.33089681853726793,0.24937235049594597,0.3301889122113841,0.20177799728361523,0.30326871630242414
Phe_CA,0.4555706465818825,0.3801210025929127,0.3197678725768613,0.24316582294110384,0.33623081038811375,0.19841955797011976,0.31833559698728237,0.29566613162118777,0.17859818084537182,0.26265794130962666,0.2988533563814463
Asp_CA,0.2784788245462403,0.3004897723998847,0.2662468617524797,0.2778038440959789,0.46421368893278997,0.2151623657241635,0.4067909618471416,0.3639379347244516,-0.020949088364818697,0.41798575955879325,0.29701609252171046
Thr_DCA,0.13566283903362553,0.38703543647363875,0.35624974276659666,0.2626908671852492,0.37529736181421575,0.36253858501049513,0.4933201629830843,0.296983166646088,0.21629830843313988,0.02019179322550109,0.2906268263571634
3oxoDCA,0.42001070090957726,0.34617442482611016,0.08487467588591183,0.2590196320533399,0.33318516689303207,0.20451084496028313,0.17127217351936452,0.19756348520393463,0.32371897765156193,0.4226283080215664,0.2762958389924682
Trp_CA,0.201893237848294,0.26060007408322017,0.26886446886446885,0.24384080339136519,0.21761534345804007,0.3014940116063711,0.2547063423467918,0.25156192122484256,0.2672181750833436,0.4258550438325719,0.2693649421739309
Ala_DCA,0.3839568671029344,0.2660657694365559,0.36441535992097784,0.20493888134337573,0.1510392229493353,0.14489854714573813,0.26183479441906404,0.26267440424743793,0.2383257192245956,0.3990369181380417,0.2677186483928057
GDCA,0.21405934889080955,0.251463143597975,0.2972301107132568,0.055587109519693784,0.27301312919290444,0.37608758282915583,0.41235543482734494,0.32362020002469444,0.13679878174260193,0.32674815820883235,0.26669629995472693
3oxoLCA,0.1314318640161337,0.3208050376589702,0.23850681154051936,0.2686504506729226,0.2337984113265012,0.1518623698398979,0.2697370045684652,0.2711034284067992,0.26418899452607314,0.21880067498045025,0.23688850475367323
Glu_CDCA,0.1711404700168745,0.3157838416265382,0.26651026875745976,0.15520434621558218,0.18966127505453348,0.31575091575091574,0.2888175494917068,0.3782113018068074,0.1548092357081121,0.05219574433057579,0.22880849487591054
Met_CDCA,0.19081368070132113,0.18503518952957154,0.2042639008931144,0.21621599374408362,0.2412396592171873,0.06395028192781001,0.2721899823023418,0.2750380705436885,0.29671975964110797,0.23039058319957195,0.2175857101699798
Asn_CA,0.2927192657529736,0.21940980367946658,0.21610075317940486,0.3020866773675762,0.1452607317775857,0.0014075811828620818,0.2504259785158661,0.38848417500102894,0.14126023788945136,0.1717331357780796,0.21288883401242953
Gln_CA,0.20388525332345553,0.2265382557517389,0.048047084002140174,0.09705724986623863,0.38420381117010327,0.3117998106762151,0.15061118656624276,0.09188788739350535,-0.003679466600814915,0.35853809112236074,0.18688891632711857
Trp_DCA,0.10328024035889205,0.13149771576737868,0.0024447462649709838,0.24122319627937602,0.08645511791579207,0.22988023212742315,0.12698687080709553,0.20671687862699095,-0.018446721817508335,0.03212742313865909,0.11421656994690699
TDCA,-0.0038770218545499443,0.167979585957114,0.03919002345968638,-0.00023871259826316007,0.18491994896489278,-0.05168539325842696,0.05030250648228177,0.2189653043585628,0.1767378688727003,-0.04024365147960653,0.07420504589043914
UDCA,0.008354940939210602,0.10803802938634399,-0.09788039675680124,0.04768489937029262,0.09170679507758159,0.14912952216323003,0.09562497427665967,0.120039511050747,0.11561098077952009,0.03469564143721447,0.06730048977239987
Asn_DCA,0.1712063217681195,-0.0621558217063835,-0.07547433839568671,0.10466312713503725,0.017442482611021937,0.04936411902704037,0.058468123636662955,0.15750915750915748,0.14427295550891056,0.005720870889410215,0.057101699798329006
GUDCA,-0.021525291188212538,0.028028151623657238,0.06362102317158497,-0.0034983742848911383,0.05482981438037617,0.10984895254558175,-0.07018973535827468,0.16465407251924105,0.07353171173395892,0.09519693789356709,0.04944972630365888
