Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
BSH2%UPI000821B1D8,0.276771,0.6992124,-0.6085488,0.1469602,-0.34802392,1.0,0.6996049,0.7767957,-0.1884021,1.0,0.4269404,-0.06394618,0.5904217,-1.0,-0.25723347,0.1633286,-0.056595683,0.5478984,-0.82752943,0.63323087,0.44588518,-0.77651423,-1.0,-0.6415942,0.20234598,0.081971,1.0,-0.8807318,-0.17304412,1.0,-0.657841,-0.16464096,-0.34404895,-0.19122483,-1.0,0.3484064,0.81198496,-1.0
BSH2%UPI000821B9AC,-1.0,-1.0,0.12839225,-1.0,-0.28026304,1.0,0.23011233,-1.0,0.9361308,1.0,-1.0,-0.8997089,0.1397993,-0.76237136,1.0,1.0,1.0,-0.865314,1.0,-1.0,-0.66769505,1.0,0.84884197,-1.0,1.0,0.51606387,0.67533284,0.7173125,0.9350699,0.27536944,1.0,-0.42565924,1.0,-1.0,0.66055864,-1.0,-1.0,-1.0
BSH2%UPI000821FD65,-0.62142104,-0.08365199,0.09338515,0.6847427,-1.0,0.5427691,-0.425841,1.0,1.0,1.0,-0.3622489,0.99710643,0.36913866,0.124017045,-0.9847469,0.2541228,0.16397865,-0.10192186,-0.6434618,-0.026612204,-0.5615606,-1.0,-1.0,-0.18961269,1.0,1.0,1.0,0.2603656,-1.0,-0.40793398,-0.39410058,0.1642644,-0.18614197,-1.0,-0.7913364,-0.33915725,-0.055489592,-0.7588123
BSH2%UPI0008222B5A,-0.13780092,0.012873621,0.766376,-0.1338963,0.028236773,-1.0,1.0,-0.0043221232,-0.16935433,-0.8796924,0.10767634,0.4669921,0.4895836,0.5868313,-0.7419848,0.2940503,-0.37348768,-0.31928095,0.08981604,-0.10050339,0.59177524,-0.27392596,-0.2009681,0.28058946,-0.41208056,0.87446827,0.8597786,0.13425153,-0.19678038,-1.0,-0.060359713,-0.6075217,0.35115707,0.09031387,0.118727624,0.04229239,-0.0747974,0.581997
BSH2%UPI00082257EE,-1.0,-0.78966343,0.9772639,-1.0,1.0,1.0,1.0,-1.0,0.60283166,0.7004559,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.6611278,1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.7578328,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.47851655,-1.0,-0.96671015,-1.0,-1.0,-0.6045284
BSH2%UPI000822F9A5,0.58015347,0.6648869,-0.48194113,1.0,-1.0,-1.0,-0.9497861,0.5865078,-0.7079374,-0.34397995,0.8242966,1.0,1.0,-0.009956568,-1.0,-0.9905366,-0.65590227,-0.45952293,-0.5905331,0.77904177,0.071749575,-0.4854096,0.015722662,0.043609865,0.87271667,1.0,0.8387871,-0.39422968,-1.0,-1.0,-1.0,1.0,-0.6396315,-0.14953674,-1.0,0.5076233,0.43584636,-0.7319915
BSH2%UPI0008230885,0.875347,0.53119755,0.0845645,0.6339323,-0.9052573,0.03232132,0.08503553,0.48131695,0.15795596,0.28025553,0.3811127,-0.29543808,-0.59215397,-1.0,0.070212744,-0.14351521,-0.82342935,0.74125904,-0.0649227,0.34356326,1.0,0.13149905,-0.58726096,-0.47911528,0.12166804,1.0,0.37310863,-1.0,-0.8976939,0.41473773,-0.52496177,-0.07933251,0.022371763,0.04887806,0.31071287,0.4920788,0.41383132,-1.0
BSH2%UPI00082332C0,1.0,1.0,-1.0,0.5736087,-1.0,0.43656045,-1.0,1.0,-1.0,-0.5792405,1.0,0.648634,1.0,0.28848737,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.7548917,-0.57580346,-0.64134747,1.0,-0.16109365,-1.0,1.0,-1.0,1.0,-1.0,0.10868855,-0.9751883,1.0,1.0,-0.34432814
BSH2%UPI0008E59C2D,-0.18672404,-0.34658906,1.0,-1.0,1.0,0.6392402,1.0,-0.6114558,1.0,1.0,-0.31738433,-0.19423728,0.21674515,-0.37872612,1.0,0.8547767,0.20814529,-0.9869737,-0.15512587,-0.45836106,-0.6789737,-0.81920105,-1.0,-1.0,0.71628994,0.027496886,-0.36012977,-0.020147972,0.78588885,-1.0,0.80536,-1.0,0.38489226,0.1931154,0.052458227,-0.24618334,-0.47141197,0.7168107
BSH2%UPI00095B7069,-0.38827914,-0.26319018,0.47931224,0.02322199,-0.6030422,0.40784502,1.0,-0.50263435,-0.32256538,-0.51694256,-0.60218906,0.055677433,0.4192077,-0.6885058,0.20409511,1.0,0.02189057,-0.3373432,0.85861015,-0.6490095,0.029404242,1.0,0.544717,0.31589356,-0.08151336,0.3538683,-0.95963526,0.26953426,-0.34616882,0.43153512,0.5231467,0.11058495,1.0,-0.21471955,-1.0,-0.75552773,-0.29148057,-1.0
