Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,-0.084239066,-0.08371094,0.03684752,-0.10321185,0.087043084,0.014645632,0.053131398,-0.0698791,0.0559339,0.030017791,-0.044610415,-0.073235124,-0.08426438,0.035263952,0.028135218,0.07441852,0.06586268,-0.06389313,0.05795899,-0.07479449,-0.077718325,0.05999124,0.055325452,-0.048165325,0.06625405,-0.0039800536,-0.0016570279,0.09500423,0.084763356,-0.02242551,0.045048103,-0.03480071,0.05633833,-0.023826832,0.024762614,-0.073165484,-0.073797636,0.047007497
5BR%MDD2293891_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.082414865,-0.014463977,0.06118486,0.000119922945,0.015216739,0.0896583,0.102083,-0.015606549,0.05548515,0.0677407,-0.100884505,-0.032474607,0.015006875,0.06270833,0.0019947884,0.061139975,0.09817811,-0.016875543,-0.044764873,-0.07281844,0.008798388,-0.07628046,-0.06487945,-0.053804345,0.048449326,-0.030702123,-0.029806446,0.075278334,0.0020316197,-0.015604712,0.049524233,0.061988983,-0.054233693,0.010347581,-0.058445305,-0.065216616,-0.0069147735,0.019631362
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.01568355,0.031185003,-0.024856234,-0.014830539,-0.026790421,0.021603372,-0.044210054,-0.007078939,-0.0048670676,-0.013343725,0.033838313,0.036812056,0.030666659,-0.00624457,0.0011818911,-0.04250113,-0.028072488,-0.013151531,-0.014908563,0.02832737,-0.029993929,-0.021711688,-0.040642537,-0.009613913,0.031064145,0.058432225,0.03723575,0.030993136,-0.018804148,-0.028551374,-0.03677386,0.014647808,0.0025821594,-0.018441187,-0.006902296,-0.0026871853,0.009360875,-0.028132763
5BR%MDD5962634_1_NADH_flavin_oxidoreductase__bacterium_,-0.016385995,-0.011848148,0.02068753,-0.014456533,-0.013407196,0.027157249,0.012699986,-0.04536645,0.01214857,0.024500022,-0.017579472,0.0349071,0.007122989,0.053623203,-0.06762846,0.015360828,0.03683216,-0.036170322,0.008349386,-0.02820988,-0.019790376,0.028112201,-0.027519079,-0.027155612,0.046085678,0.04978747,0.03466311,0.026055241,-0.0060876226,0.006164493,-0.06851829,-0.019737331,-0.00833057,-0.011494216,0.011775076,-0.046027213,-0.027342798,0.017071921
5BR%MDD6582580_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.04850219,-0.036815863,0.016696038,-0.050093528,-0.014932749,0.020783901,0.02295676,0.005548524,0.044625882,0.0684884,-0.023103692,0.0005446373,-0.033107597,0.04056317,-0.011080004,0.025083065,0.05501291,0.011746841,-0.031514183,-0.026971027,0.01244875,-0.039068483,-0.023578132,-0.016525706,0.060493823,0.03705619,0.0683061,0.03506286,-0.026543949,-0.0413533,-0.014914709,-0.030242758,-0.009612952,-0.05066946,0.008278941,-0.025771096,-0.027444696,0.007856257
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,-0.038713023,-0.024370808,0.024509642,-0.044486884,0.04287004,0.06178796,0.04421308,-0.0026495447,0.043673426,0.022870274,-0.026939433,-0.05636082,-0.083746836,-0.039936043,0.041818958,0.013116348,0.058884643,-0.03840301,0.030188398,-0.022735186,-0.039390545,0.03242834,0.040993437,-0.03531483,0.05286784,-0.00973376,-0.02357205,0.043337654,0.043753494,0.0031132067,0.03583389,-0.024228537,0.03176751,0.014804985,-0.052822936,-0.037904814,-0.02278643,-0.0017140214
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,-0.040588755,-0.04242563,0.037440933,-0.012322601,0.0441461,0.0026706595,0.0259435,-0.018017745,0.039769817,0.02369765,-0.027929675,-0.025274023,-0.03030856,0.0030430304,0.039320774,0.04763876,0.052644208,-0.009587383,0.023303915,-0.03892748,-0.01533865,0.02963135,0.0023259637,-0.02530426,0.007876817,-0.031801835,-0.027630715,0.012156866,0.036322597,-0.021763718,0.024468293,-0.020471536,0.04334101,-0.009104754,0.011631586,-0.035253357,-0.04047583,0.014937783
5BR%MFO0559492_1_NADH_flavin_oxidoreductase__Polyangiales_bacterium_,0.026626771,0.0204815,-0.01151485,-0.013718071,-0.029616265,-0.0075239693,-0.03353493,0.007995492,0.033508357,0.033072807,0.010206053,-0.005734509,-0.008126305,0.00045255022,-0.026322214,-0.03580933,-0.03169142,-0.00802497,0.03674491,0.014319118,0.023149345,0.025625635,0.014758004,0.025879255,-0.014782837,-0.057710405,-0.037985235,-0.012148228,-0.03426204,-0.0121952435,0.04180105,0.00973813,0.00816822,-0.0020396877,0.0029732115,0.01636458,0.003240632,0.023240747
5BR%WP_259010233_1_NADH_flavin_oxidoreductase__Parabacteroides_distasonis_,0.00096331,-0.006062901,0.011021538,-0.016597172,-0.007178182,0.015214605,0.0034202016,-0.005249115,-0.006662731,-0.021993559,0.0061522503,0.017045291,0.03308302,-0.03743192,0.01943428,0.010929685,-0.025008757,-0.013141453,0.016863845,-0.0038250736,-0.020219788,0.014752164,-0.0367857,-0.011100506,8.584269e-05,0.053685557,0.013923099,-0.027683787,-0.003944561,-0.02070394,0.009184516,0.0075618993,0.013357197,0.018154724,0.018550266,0.0122495,-0.0020946665,-0.038022537
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,0.00054728705,-0.004191581,0.016145281,-0.012712438,0.024845583,-0.016181199,0.0058412342,0.029371869,0.01549823,0.009954252,0.008194469,0.004907463,-0.018268287,0.036288265,0.006261778,0.007411163,-0.012512353,0.02886803,-0.016382398,0.0060159117,0.0055617746,-0.019207478,0.013766855,0.004628645,0.0011852891,-0.044898715,-0.046966776,0.0033965972,0.005391251,-0.013898524,-0.013021236,0.0032312486,-0.010821556,0.018375453,-0.016918747,0.0030042306,0.0039083078,-0.006890378
