Sample,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
Trp_DCA,0.2763232900269589,0.31332286500635087,0.27271110479636373,0.28939371483934345,0.2889237424840556,0.2959904756188827,0.3377167207026681,0.287425881672793,0.2708933149280221,0.2708264384865347,0.29035275485619727
CDCA,0.25577103270209,0.23828700772018704,0.24905693193913514,0.2667654706888886,0.2534928242558159,0.23775861034184154,0.2662284994077883,0.2669135542378964,0.26823124060698333,0.24531381096504176,0.2547818982865668
UDCA,0.19640826965169136,0.20915435597129461,0.2134520859692981,0.2249603456997591,0.21392671272893854,0.21414559221783597,0.18887707595620454,0.2180492901420941,0.2005833928403013,0.20608318400452705,0.20856403051819447
TUDCA,0.18386587476467703,0.2328088962814984,0.21198950064365515,0.17881021176314962,0.19308808705205954,0.23872047974660449,0.20914504716258941,0.1972988531792644,0.20191749210894738,0.19745771534887827,0.2045102158051324
TLCA,0.19773269265865703,0.2039311344130735,0.20104871079123654,0.20310130311073446,0.23211894207838757,0.20052300806804252,0.22618886348019615,0.19158753158564534,0.19724863460598635,0.17923804951061392,0.2032718870302573
Asn_CA,0.2106545439847336,0.20135455415093256,0.20033989400206512,0.1984754376058724,0.18928580614895812,0.20493256625483358,0.24572903282702402,0.20027571221572923,0.19044279308355513,0.17529331933745781,0.20167836596111616
Phe_CA,0.16307097599184744,0.15104742470582327,0.16403076316308424,0.17131845802033488,0.16837344490838788,0.16804641176045498,0.1531459486472219,0.1868456734249435,0.20054872977630692,0.1597365852105077,0.16861644156089128
isoUDCA,0.12289195290232734,0.16835935921100498,0.13306182641276484,0.14345939828350468,0.13920000587924763,0.18408818381467634,0.15322164396011423,0.14570012652630782,0.15077575447282135,0.15890834620439453,0.14996665976671636
Gln_CA,0.13534187212391494,0.16828611358461404,0.1297156771362185,0.13306023411653897,0.14446083012526473,0.14281611060824492,0.18301411876815069,0.1295228868085607,0.11400265301048099,0.10893902852782418,0.13891595248098126
Phe_DCA,0.09369266968059764,0.14278830666645437,0.12173998782505811,0.1250372658559021,0.13491415686077576,0.15747429972649252,0.11992354528429225,0.164334279320604,0.09687958933455493,0.1426069073810279,0.12993910079357596
Asp_DCA,0.11557988366438808,0.14676084078140103,0.1326327638220499,0.10221096455181149,0.12073328915732011,0.11182978108376582,0.1217991477540662,0.11834129277305737,0.13682246264534295,0.09640214543543792,0.12031125716686411
