Sample,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
TCDCA,0.34261843025887967,0.37488578836893444,0.4039922624192287,0.3918096884389019,0.3846318475531959,0.34484092686339873,0.3931267234638021,0.39737416141910525,0.36538667325184176,0.40102893361320324,0.37996954356504925
Thr_DCA,0.34740914516195415,0.3609910688562374,0.3838087006626332,0.3587850351895296,0.4014405070584845,0.41554924476272787,0.4027410791455735,0.3536485985924188,0.33970449026628796,0.38858295262789644,0.37526608223237434
Ala_DCA,0.33306992632835325,0.3211507593530065,0.34920360538338063,0.3059554677532205,0.35577231757007033,0.3119973659299502,0.2975264435938593,0.35170597193069103,0.2911058978474708,0.3259579371938922,0.3243445692883895
Phe_DCA,0.3338436844054821,0.3343869613532534,0.2781660287278265,0.39131580030456425,0.33341564802238954,0.3212989257933078,0.3189282627484874,0.30636704119850183,0.3151088611762769,0.2547063423467918,0.31875375560768815
GDCA,0.35289130345310116,0.29153393423056345,0.30376589702432394,0.3389801210025929,0.31119068197719885,0.2581470963493435,0.28542618430258876,0.2744783306581059,0.36681894884142074,0.3025476396262913,0.3085780137465531
GLCA,0.29844836811128944,0.31239247643742024,0.31456558422850556,0.3079145573527596,0.27125159484710043,0.30924805531547106,0.2557435074289007,0.2669712310161748,0.3209532040992715,0.26567065892908587,0.29231592377659793
Thr_CA,0.309050500061736,0.28305552125776845,0.300835494093921,0.30129645635263613,0.27304605506852697,0.280289747705478,0.2041815862040581,0.3148783800469193,0.2692925052475614,0.2603531300160513,0.27962793760546567
Asp_DCA,0.3110260525990863,0.273375313824752,0.25724163476972467,0.32829567436309004,0.2942667819072313,0.26703708276741983,0.25962876075235625,0.31361073383545296,0.23886899617236695,0.2266370333786064,0.27699880643700864
Phe_CDCA,0.28073424702638183,0.23830925628678437,0.18966127505453348,0.21256122154998558,0.19535745153722683,0.2640572910235831,0.2107996872041816,0.30129645635263613,0.28708894102152527,0.23862205210519818,0.24184878791620362
isoCA_aMCA,0.2417993991027699,0.2107173725151253,0.25753796765032716,0.25803185578466475,0.23053874963987325,0.21308803555994565,0.2541466024612092,0.2461456146849405,0.22857966004033417,0.23705807301312914,0.23776433304523187
