Family,CA,CDCA,DCA,LCA,UDCA
7aHSDH%EOW9602512_1_SDR_family_NAD(P)-dependent_oxidoreductase__Escherichia_coli_,1.0,1.0,-1.0,-1.0,1.0
7aHSDH%GENOME025100_397,0.451452,0.5917818,-0.12150851,-0.19270402,-1.0
7aHSDH%GENOME122758_282,-0.060225982,-0.12064723,-0.25477928,-0.11774918,1.0
7aHSDH%GENOME125242_1669,-0.3304346,-0.4368818,-0.24713603,0.06386484,1.0
7aHSDH%GENOME150027_3593,1.0,1.0,-1.0,-1.0,-0.4196231
7aHSDH%HAY2965420_1_SDR_family_oxidoreductase__Escherichia_coli_,1.0,1.0,-1.0,-1.0,0.6952482
7aHSDH%HEX5818085_1_7-alpha-hydroxysteroid_dehydrogenase__Gemmatimonadales_bacterium_,1.0,1.0,-0.6504845,-1.0,-1.0
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,1.0,1.0,-1.0,-1.0,1.0
7aHSDH%WP_221221011_1_7-alpha-hydroxysteroid_dehydrogenase__Phenylobacterium_haematophilum_,-1.0,-1.0,1.0,1.0,-0.18547463
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,-0.8262907,-0.5125969,0.5310382,0.49991113,0.5036068
7aHSDH%WP_342232791_1_7alpha-hydroxysteroid_dehydrogenase__Pseudoflavonifractor_phocaeensis_,-1.0,-1.0,1.0,1.0,-0.49903107
7bHSDH%WP_394860677_1_7beta-hydroxysteroid_dehydrogenase__Mediterraneibacter_gnavus_,0.5775167,0.32689896,-1.0,-0.8059599,1.0
BSH1%UPI0001B1C28E,0.92775583,0.7790758,-1.0,-0.76797754,0.548994
BSH1%UPI00022FF9E1,-0.7106619,-0.8564376,1.0,0.73366326,-0.83096355
BSH1%UPI0002624191,-0.18979518,-0.20956212,-0.37826166,0.14005542,1.0
BSH1%UPI0002802AC4,1.0,1.0,-1.0,-0.93455905,-0.38361925
BSH1%UPI00033F0DE9,1.0,1.0,-1.0,-1.0,-1.0
BSH1%UPI0003A10C39,-0.8952328,-0.93677574,0.64402604,1.0,-0.23465033
BSH1%UPI0004D6A0E9,-0.9207815,-0.9315757,0.925848,1.0,-1.0
BSH1%UPI0004F8D610,0.24515624,0.36833724,-0.6717059,-0.2461748,0.6252411
BSH1%UPI00070D1B8F,1.0,1.0,-1.0,-1.0,1.0
BSH1%UPI0007933BD5,-0.0082204705,0.04386709,-0.4958303,-0.34439608,1.0
BSH1%UPI00095C7CBB,-0.03883523,0.018665856,-0.6261287,-0.37473705,1.0
BSH1%UPI000BCCCB22,-0.6264288,-0.6005584,1.0,0.5376608,-0.82735014
BSH1%UPI000BD3EFD5,1.0,0.9670544,-0.9888019,-0.9465063,-0.14338829
BSH2%UPI0001C1C05D,-1.0,-0.9123219,1.0,1.0,-0.5902979
BSH2%UPI000335FD2D,-0.6763211,-0.6094173,1.0,0.7621802,-1.0
BSH2%UPI000396CDDF,1.0,1.0,-0.7398267,-1.0,-0.20815445
BSH2%UPI00050FFCF5,-0.28292033,-0.36189568,0.59977055,0.43770474,-0.85553586
BSH2%UPI0005DCCFF2,-1.0,-1.0,1.0,1.0,-0.58646566
BSH2%UPI0006C0EB58,-1.0,-1.0,1.0,1.0,0.13190481
BSH2%UPI0006C52F45,0.82558554,0.8224882,-1.0,-1.0,1.0
BSH2%UPI0006C706B0,-0.9790196,-0.9627455,0.85756946,0.952092,-0.06375331
BSH2%UPI0006CAB5AD,1.0,1.0,-1.0,-1.0,0.9553917
BSH2%UPI000821232B,-1.0,-1.0,1.0,1.0,0.36196464
BSH2%UPI0008222B5A,-1.0,-1.0,1.0,1.0,-0.15762644
BSH2%UPI000960BD65,0.6479096,0.3832967,-0.9549788,-0.7094536,1.0
BSH2%UPI000961A2BF,-0.4788984,-0.58962333,0.34951395,0.27661654,0.7260259
BSH2%UPI000C84F661,-0.9933561,-1.0,0.9100176,0.9578022,0.0055624894
