SampleID,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
GUDCA,0.2767255269474861,0.2436583097281529,0.22087402584591104,0.20255241289570974,0.2524168886258262,0.2596969141804892,0.18254085692676994,0.21418354260911232,0.12750320607674856,0.17533246898443705,0.21554841528206428
Phe_CA,0.1678892036246283,0.3250973566895437,0.15011485505714567,0.3282893407930401,0.1708016836013285,0.12929179761082693,0.24786966182349432,0.22771600501698164,0.039425348910403654,0.20208030928658335,0.19885755624139761
Phe_CDCA,0.20633159054289568,0.24482330171883296,0.21003913057775148,0.3334237611390615,0.020268746741075833,0.18467002071618824,0.10260619982431168,0.16888273510055102,0.2987699469646792,0.1792737120496813,0.1949089145375029
Ala_DCA,0.16289570972909237,0.2834794270870033,0.02532095999098071,0.174347158218126,0.11633713364994809,0.2758470854061266,0.28363209740836265,0.10209064389295228,0.1278496502675254,0.30438234285526383,0.18561822085053814
UDCA,0.27510017521855346,0.1417767067367541,0.0007974088323304068,0.4354298491617225,0.23112877389290531,0.06412505813216082,0.08651357356595593,0.1057183256058663,0.18823076236512165,0.028709066738069406,0.15575297002494398
TDCA,0.12651554653626274,0.2711988613142801,0.22508185477999032,0.19096708427871495,0.20879310587804226,0.11029608647247004,0.0759534848762431,0.12918962593422495,0.05158730158730159,0.14792462313918367,0.1537507574796714
Glu_CDCA,0.17404416634958217,-0.14832391474889256,0.12077749122732846,0.27415009606486374,0.28973891026273385,0.08541434725216909,0.4393957543558018,0.13999163836393785,-0.05530893426720595,0.18281918666647878,0.15026987415267973
Asp_CA,0.318125020551774,0.16897668606754138,0.18118209106667232,0.14702621701733867,0.08129342296255584,0.13625473865189758,0.08927338322129681,-0.010777350300877972,0.33707023304537365,0.030440113304866193,0.14788645555884386
Asn_CA,0.06495652419002523,0.16186929541472309,0.19830465480065956,0.20651009738017728,0.123083987466941,0.0709752580128431,0.14111082925821014,0.06223899246983,0.028915758865448126,0.2487246156231063,0.13066900134819637
Gln_CA,0.0221078369199115,0.2338944554836831,0.18880034010250052,-0.04868656548147522,0.13670100574510166,0.10487276690295336,-0.00048502186708756703,0.13398817157325593,0.16097088929287806,0.24367240237320145,0.11758362810449227
Thr_DCA,0.13126476791762381,0.05450917666070078,0.11373116870305387,0.06899993893187147,0.205211225261536,0.0877631214269273,0.14192115634850172,0.17250337049094078,0.13775677973665543,0.05769763760293503,0.11713583430807462
TLCA,0.1110159857570334,0.009055698830780215,0.10491152167683687,0.06137229479934423,0.0905041408888701,0.11804821563625943,0.07133227168740634,0.16321749179103426,0.017614631923599074,0.09748587212333884,0.08445581251145026
Asn_DCA,-0.02976249195544845,0.020939321767969296,-0.015642836003889573,-0.057684719344973864,-0.03164033690816763,-0.029465372022341542,-0.07081671575604692,0.008015191871362336,0.010207772563499112,-0.04183636560079295,-0.02376865513888302
Lys_DCA,-0.2856661358437032,0.04854211586972759,-0.16290510482579143,-0.1142584685052871,-0.23766071487290785,-0.14394110213879377,-0.1314514954645171,-0.19568929475706628,-0.08011668710100199,-0.11802003034616235,-0.14211669179855033
