Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Tyr_CA,isoCA_aMCA,isoLCA
BSH2%UPI00033F049A,0.050636567,-0.05320336,-0.09601538,0.14770943,-0.07492633,-0.1475194,0.0482264,-0.11325553,-0.055197276,0.09175355,0.082067184,0.082355715,-0.0828333,-0.12314972,-0.11012196,0.055503484,0.08906713,-0.09357784,-0.107149966,0.02300495,-0.09491827,-0.02745956,-0.07615468,-0.07359602,0.12998791,-0.001526756,-0.04470347,-0.0098070735,0.08656301
BSH2%UPI00038B932A,0.044669088,-0.0035352295,0.067472965,-0.022184215,0.055234056,-0.010149526,-0.10471907,0.040815827,0.025850406,-0.026223755,-0.041243874,0.0032409194,0.059614096,0.055322293,0.07556279,-0.014169154,-0.036391817,0.0399415,0.0835994,-0.06606541,0.015997207,-0.01676973,-0.016403962,0.08766218,-0.0063886223,-0.013249744,0.03305881,0.060304776,-0.04287217
BSH2%UPI000396CDDF,0.19817993,0.020596923,-0.070758246,0.05876184,-0.017126475,-0.13577054,0.010812714,-0.12222558,-0.025238402,0.14220215,-0.0085631125,0.19557165,-0.035940275,-0.16051975,-0.13008285,0.14994992,0.085486956,-0.120799065,-0.16730739,-0.0013147237,-0.24022864,-0.17723842,-0.122298025,-0.033969093,0.13769406,-0.108313195,-0.052444037,0.18328114,0.15865256
BSH2%UPI00050FFCF5,-0.036357537,-0.018859481,-0.016320746,-0.05014544,-0.01334672,-0.0012826148,-0.02348132,0.015397716,0.025277859,-0.03779541,-0.026953924,-0.074804455,0.035893105,-0.0065295915,0.027651848,-0.044715103,-0.07633603,0.044429936,0.009423961,-0.03573725,-0.008974685,-0.016813766,-0.0717045,0.023943102,-0.01643778,0.07748169,0.06864098,-0.0050603105,-0.008085332
BSH2%UPI0005DCCFF2,0.10479937,0.044964258,-0.19961083,0.15428376,-0.14253432,-0.14747743,0.16842163,-0.22500114,-0.22279972,0.15133233,0.13340387,0.1555095,-0.10178722,-0.17118068,-0.18004982,0.15562062,0.18049341,-0.17108856,-0.1350111,0.12358656,-0.13759416,-0.03643336,-0.06211789,-0.1554491,0.16253865,-0.014607576,-0.14286155,-0.07560067,0.17163542
BSH2%UPI0006649122,-0.10987499,-0.011044987,0.06329764,-0.027169619,-0.00037653127,0.01183921,-0.07121492,0.1133199,0.11162254,-0.06894026,-0.004564248,-0.07488431,0.00018999487,0.015634809,0.017901152,-0.13090153,-0.07929113,0.06646067,0.028396903,-0.05780326,0.11761264,0.107835874,0.09250403,-0.010200885,-0.0971097,0.077080324,0.060133144,-0.030387707,-0.091513336
BSH2%UPI0006C0EB58,0.12283442,0.0045012664,-0.024431579,0.09362359,-0.07628985,-0.10904481,0.045433965,-0.09750006,-0.031356014,0.12992817,0.02426108,0.059755985,-0.16983579,-0.0684096,-0.022547044,0.0869638,0.12041896,-0.08084924,-0.08492017,0.05248288,-0.12592234,-0.07060659,-0.012301886,-0.0665376,0.091997586,-0.03951104,-0.029373273,0.07604591,0.08498496
BSH2%UPI0006C1ADDE,-0.066169746,0.0663049,-0.16927801,0.098939724,-0.119399354,0.019344164,-0.011558479,-0.0782741,-0.08087091,0.018996492,0.17846048,0.210568,-0.111734934,-0.03922815,-0.13482392,-0.04643776,0.033054076,-0.09487334,0.038183905,0.08649792,0.10768519,0.05184268,0.07849702,-0.16046086,-0.028677521,0.038496815,-0.13986133,-0.18926206,0.037016015
BSH2%UPI0006C28698,0.06616231,-0.024952888,-0.07317806,0.139621,-0.11880272,-0.14177532,0.07279886,-0.13233544,-0.091100425,0.042568356,0.056535155,0.07077891,-0.11288062,-0.13982455,-0.1476022,0.09055114,0.09938226,-0.064892314,-0.08156976,0.10593402,-0.12228042,-0.07787722,-0.09155747,-0.08081961,0.14881377,0.02598916,-0.05996841,-0.026953032,0.12465899
BSH2%UPI0006C52F45,-0.113422774,-0.030160004,0.14355607,-0.19180359,0.08073381,0.04511453,-0.17055956,0.16972038,0.1821891,-0.13936996,-0.1063092,-0.15754166,0.09692219,0.09276237,0.10133935,-0.17523248,-0.17121418,0.1379497,0.107828215,-0.16327389,0.09678869,-0.010815332,0.011325549,0.1058664,-0.1382913,0.09029076,0.14424813,0.085812904,-0.08929599
BSH2%UPI0006C5C844,-0.095737174,-0.07337535,0.12552634,-0.14567992,0.058821507,0.054176774,-0.13320541,0.16315612,0.16861989,-0.09872717,-0.053756103,-0.17380583,0.059045743,0.077494614,0.094006024,-0.17203169,-0.17232601,0.107823655,0.04829063,-0.17025213,0.10650793,0.024247035,-0.016005859,0.07292731,-0.11995565,0.049704865,0.15119156,0.050791655,-0.07478655
