Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
BSH1%UPI00093BFB8C,-0.039394468,-0.03587508,0.015832929,0.017026946,0.05271606,-0.053551283,0.020345278,0.032990266,-0.04614993,0.023062956,0.04486269,-0.0656993,0.025250504,0.039907992,-0.011351824,0.005585604,0.08559075,-0.025138069,-0.029285692
BSH1%UPI00095B1DAC,-0.003651917,0.027651682,-0.07219747,-0.053278532,-0.09230092,0.073700845,0.015582127,-0.009973824,0.065465696,0.0283896,-0.056364108,0.03170845,-0.025682712,-0.02096195,0.090455405,0.04742835,-0.0418752,-0.048333067,-0.026892917
BSH1%UPI00095C7CBB,-0.04401086,-0.08446178,0.05067703,0.05982491,0.07544563,-0.07262178,0.04946726,0.06578193,-0.005920807,-0.029462917,0.04981015,-0.06986754,0.054369923,0.045954343,-0.028744001,-0.036736954,0.022710783,-0.006797905,-0.0010061226
BSH1%UPI000963C515,0.023141751,0.018279698,0.021034056,0.023201423,-0.0061056614,0.016153116,0.03912867,0.0156746,0.052178618,0.058827125,0.008348432,0.0038493713,-0.02069934,-0.044771127,-0.06333692,-0.042260677,-0.08707417,-0.008023602,-0.0035363787
BSH1%UPI000BCCCB22,-0.016068596,0.037668575,-0.00617315,-0.01748007,-0.0023146654,0.015840497,-0.03926935,-0.03920329,-0.055604562,-0.031559523,-0.032153003,0.027643478,0.0044971965,0.032825664,0.02758928,-0.02595558,0.019865772,0.026340801,0.050774332
BSH1%UPI000BD3EFD5,0.007059352,-0.012287833,0.07342918,0.0485847,0.045703363,-0.036701318,-0.042560946,-0.036695875,-0.12104403,-0.068049096,0.05684059,-0.0151030235,-0.052437864,-0.03321963,-0.06380974,0.010659002,0.031792,0.11786665,0.13444829
BSH2%UPI0001599717,0.04472166,0.023983728,0.017819418,0.022618385,0.029408542,0.00094147073,-0.043989465,-0.018043546,-0.08539203,0.014832106,-0.018911943,0.021930732,-0.032133445,-0.051736556,-0.08157546,0.0074487305,0.044808555,0.052614123,0.020662747
BSH2%UPI00017C25E3,0.03026189,-0.009191108,0.029233538,0.049338218,-0.013089931,-0.01756387,0.074347384,0.03315787,0.007288881,-0.06838223,-0.0417452,-0.019334348,0.050146516,0.01939949,-0.030126724,-0.07056372,-0.02227608,-0.0041475166,0.02751164
BSH2%UPI0001C1C05D,0.019172125,0.0148122,-0.012987479,-0.008281675,-0.035294197,0.004295309,0.033053447,0.032687183,0.051971678,-0.027680315,-0.005373074,0.0035014143,0.02290838,0.010368909,0.010414485,-0.036356118,-0.016558623,-0.039376512,-0.039676618
BSH2%UPI0001CF4F1D,0.081245214,0.06350577,-0.025707629,-0.0014214076,-0.00653792,0.065140426,-0.047295295,-0.06756648,0.011344305,0.0715217,-0.021960396,0.06048557,-0.06719344,-0.061560355,-0.023040166,-0.011291141,-0.06762498,0.03546132,0.00666688
BSH2%UPI000335FD2D,0.026732082,0.001692749,0.020299202,0.017513419,0.03546721,0.038309976,-0.05100783,-0.072940126,-0.033433333,0.067076966,-0.020491866,0.027876196,-0.036425646,-0.049564037,-0.036659073,-0.035865244,-0.022271406,0.07243567,0.050449017
BSH2%UPI00033AD64E,-0.05478478,-0.012408465,-0.038175672,-0.00418334,0.00033148658,0.023234991,0.037945922,0.04925903,0.06371742,0.033738025,-0.03416738,0.018127594,-0.03397155,-0.010161084,0.024404477,0.03877061,-0.02458713,-0.041178994,-0.058113657
