Family,12oxoCA,12oxoDCA,3oxoCA,3oxoCDCA,3oxoDCA,3oxoLCA,7_12oxoLCA,7oxoDCA,7oxoLCA,CA,CA_S,CDCA,DCA,GCA,GCA_S,GCDCA,GDCA,GLCA,GUDCA,HCA,LCA,TCA,TCA_S,TCDCA,TDCA,TLCA,TUDCA_2,UCA,UDCA
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,0.00085083925,0.01667266,-0.009204825,-0.013965371,0.015055183,0.009947476,-0.01081359,-0.0067180973,-0.006187026,-0.008774379,-0.0023019242,-0.01260534,0.015911574,-0.002875874,-0.013166059,-0.0058041452,0.010652554,0.0036506406,-0.0022687442,-0.0025298768,0.015078595,-0.0052631674,-0.011262759,-0.0034418534,0.0071538715,0.001664649,-0.010213308,-0.0042560967,-0.0016402723
5BR%MCA9548846_1_NADH_flavin_oxidoreductase__Myxococcales_bacterium_,0.0008103004,-0.00056529173,-9.134956e-05,-0.0014037682,-7.220645e-05,0.0007405797,-0.0018407512,0.00088330277,0.0003857514,-0.0001894666,0.0005738008,-0.00068336324,8.870608e-05,-0.002009842,-0.00077250175,-0.00051008625,-0.00019799206,-0.00019739728,-0.0013552336,0.0012721122,-0.0010557043,8.7469874e-05,0.00042005823,0.0004363653,0.0017287169,-0.00033416227,-0.00019228106,0.00042776528,0.0033591262
5BR%MCD8287651_1_NADH_flavin_oxidoreductase__Porphyromonadaceae_bacterium_,-0.0053209513,0.004603271,-0.0075815497,-0.004958874,0.004903421,0.0022233494,-0.0040345774,-0.004984775,-0.0057791253,-0.006679039,-0.0025650186,-0.006624614,0.0042348728,-0.0041845758,-0.0043904292,0.0012672059,0.002917772,0.00041511882,-0.004378972,-0.0038102663,0.005169119,-0.0066143107,-0.005984342,-0.00417353,-0.002156129,0.0001303581,-0.0053756027,-0.00094268774,-0.003199786
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,0.008508308,-0.019932408,0.01716808,0.016537089,-0.018650815,-0.010781087,0.012260399,0.012970657,0.015007296,0.016069297,0.0045049875,0.017876891,-0.018758316,0.0073279073,0.014904866,0.0021191912,-0.015025544,-0.0067584044,0.0077351807,0.0073406696,-0.020271098,0.01161755,0.01447727,0.006165648,-0.0050244643,-0.0033336806,0.011463869,0.0054273033,0.0075807883
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.0068633705,0.006391742,-0.010357503,-0.007893323,0.006803193,0.0037957672,-0.008898957,-0.007471705,-0.0076480256,-0.00976025,-0.0026858253,-0.009100242,0.0065406854,-0.0040785056,-0.0061265244,0.0014621536,0.003380765,-0.0006663559,-0.0044451333,-0.004214813,0.0058988794,-0.0079833,-0.005849293,-0.0031224517,-0.002334239,-0.0010166011,-0.008833611,-0.0040655294,-0.0044701328
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,0.00348219,-0.027316296,0.016367123,0.021481913,-0.02573292,-0.017099202,0.014045519,0.010612366,0.010287207,0.0155084375,-0.0014798831,0.021675827,-0.026743762,0.0077996682,0.01756983,0.0063663726,-0.021079617,-0.01179452,0.0051553305,0.004192121,-0.027379265,0.012174629,0.019140352,0.010860308,-0.0126697505,-0.008905559,0.015449699,0.0023655782,0.0021839547
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.0033971039,-0.008449524,-0.0022673612,0.0039556976,-0.006929921,-0.005654031,0.0010818286,0.00062033633,-0.0027329316,0.0004073169,-0.0035657836,0.0022203461,-0.007998703,0.001143123,0.0034996623,0.004996707,-0.006564015,-0.004826185,-0.0022984762,-0.0011339155,-0.007353708,-0.0020443865,0.001820016,0.002405186,-0.008428026,-0.0049312455,-0.00018139026,-0.00031459014,-0.0009723094
5BR%MDL2227349_1_NADH_flavin_oxidoreductase__Odoribacter_sp__OttesenSCG-928-L07_,-0.0037943763,-0.006075368,0.0003011122,0.0038420437,-0.005832253,-0.0035248687,0.0009062314,-0.001910317,-0.00090917543,0.0007424562,-0.0057696337,0.0031300518,-0.005987705,0.004918674,0.0027855006,0.003716278,-0.005540192,-0.0053016623,0.0009561838,-0.0019592505,-0.005776804,0.0014293733,0.0026108304,0.0030349141,-0.0065900655,-0.0038656665,0.0027895712,-0.0015047005,-0.0036920013
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,-0.014184499,0.003279197,-0.013730037,-0.0061686463,0.0037366422,0.0012041689,-0.008353926,-0.012843979,-0.013384379,-0.011527399,-0.012830815,-0.009410748,0.0026548505,0.0017411968,-0.005615997,0.005988854,0.0015588194,-0.003772313,-0.004831557,-0.0083357245,0.004528223,-0.009233873,-0.0053276094,-0.0014380678,-0.009621104,-0.004897171,-0.005124094,-0.0054056835,-0.010661258
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,-0.002541604,0.0055504865,-0.0051477887,-0.005067027,0.005362721,0.0037916529,-0.0057430607,-0.0040724743,-0.0033163712,-0.0050095995,-0.0010482931,-0.006013509,0.0054614134,0.000694604,-0.003709513,0.0002990754,0.0040891333,0.0003096479,1.2160464e-05,-0.0010821926,0.005557177,-0.0045961924,-0.0032159267,-0.0020070744,0.0001693777,0.00028683155,-0.0037752248,-0.0012595835,-0.0011693756
