Family,12oxoCA,12oxoDCA,3oxoCA,3oxoCDCA,3oxoDCA,3oxoLCA,7_12oxoLCA,7oxoDCA,7oxoLCA,CA,CA_S,CDCA,DCA,GCA,GCA_S,GCDCA,GDCA,GLCA,GUDCA,HCA,LCA,TCA,TCA_S,TCDCA,TDCA,TLCA,TUDCA_2,UCA,UDCA
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.4831094,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.7101612,1.0,1.0,1.0
7aHSDH%WP_025075670_1_7alpha-hydroxysteroid_dehydrogenase__Bacteroides_faecichinchillae_,-1.0,-0.10806444,-1.0,-0.2535089,0.10280845,-0.16052939,-0.445386,-0.6387748,-0.8578756,-0.58013,-0.5448381,-0.48721197,-0.0056170835,-0.4604402,-0.30785534,0.5088791,-0.33191314,-0.09809296,-0.7145526,-0.61633056,-0.04403023,-0.8008209,-0.6334159,-0.09389491,-0.9258533,-0.3325284,-0.9199511,-0.19738646,-0.58755195
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,-0.79404014,1.0,-1.0,-1.0,1.0,0.9092694,-1.0,-1.0,-1.0,-1.0,-0.5753762,-1.0,1.0,-0.1882172,-1.0,-0.040380236,0.87410045,-0.39690822,-0.23363939,-0.6650827,1.0,-0.7043473,-0.6706711,-0.37017155,0.16417837,-0.0824545,-0.3933197,-0.829594,-0.79581565
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,0.59428847,-1.0,1.0,1.0,-1.0,-0.8262929,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-0.27449375,1.0,0.23657463,-1.0,0.10294426,0.5763763,0.48158893,-1.0,0.7055264,0.889457,0.054399706,-0.082068555,0.5628115,0.82522124,0.92949086,0.8056968
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,-1.0,-0.5648688,-1.0,-0.1651957,-0.20331995,-0.40184352,-0.5541123,-0.57655615,-0.81730604,-0.66268796,-0.4457543,-0.46094257,-0.39787436,-0.6578716,-0.1855415,0.8335246,-0.6490693,-0.22916348,-0.793566,-0.69073194,-0.4998672,-0.9681602,-0.45028678,-0.12796874,-1.0,-0.4519669,-0.91054624,-0.13000113,-0.36207473
7aHSDH%WP_303013929_1_7alpha-hydroxysteroid_dehydrogenase__uncultured_Bacteroides_sp__,-1.0,0.015076285,-1.0,-0.44031447,0.34470528,0.07469437,-0.65616477,-0.7028761,-0.5596715,-0.82907706,0.07292288,-0.6613714,0.22525895,-1.0,-0.20011972,0.5107055,-0.11849048,0.14822075,-0.6594192,-0.5784336,0.016105363,-1.0,-0.38350815,-0.67539036,-0.566119,0.21007714,-0.83511287,0.09963228,-0.23009174
7aHSDH%WP_342232791_1_7alpha-hydroxysteroid_dehydrogenase__Pseudoflavonifractor_phocaeensis_,-0.19868639,-0.99317193,0.45326293,0.7081845,-0.7801792,-0.45656762,0.3261401,0.41063523,0.5152308,0.3116873,0.38562912,0.51273906,-0.9060596,0.08813641,0.85972893,0.5437161,-0.37377718,-0.0957074,0.39187896,0.3264821,-0.8883636,0.05627497,1.0,0.0602791,-0.29659945,-0.010376953,0.77997684,0.37833485,0.38060907
7bHSDH%GENOME075272_507,-1.0,1.0,-1.0,-1.0,1.0,0.841741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.4935434,-1.0,0.09942478,1.0,0.15821016,-1.0,-1.0,1.0,-1.0,-1.0,-0.28603262,-0.43362874,-0.3451215,-1.0,-0.8808896,-1.0
7bHSDH%GENOME213756_525,-1.0,1.0,-1.0,-1.0,1.0,0.80964285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.01826012,-1.0,-4.17208e-06,0.96595395,-0.06967323,-0.6208236,-0.8191461,1.0,-1.0,-1.0,-0.55448365,-0.24309048,-0.35439005,-1.0,-0.66127837,-0.8107374
BSH1%UPI0001652BA3,0.42458084,-0.29480737,-0.103702664,0.20383874,-0.21321437,-0.28612733,-0.0042561847,0.47760472,0.14999269,0.12498099,0.7673548,0.15668748,-0.21753699,-0.6726189,0.19407754,-0.15181664,-0.4402783,-0.14361064,-0.34461287,0.33360752,-0.323893,-0.31613153,-0.08704739,-0.05844343,-0.045557633,-0.09557376,-0.546119,0.09820473,0.4401718
BSH1%UPI0001B1C28E,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-0.20205536,1.0,-0.20186277,-1.0,-0.47777426,0.43836156,1.0,-1.0,1.0,1.0,0.75939476,-0.027699923,-0.11673619,0.5891564,0.5107093,1.0
BSH1%UPI0001DE6025,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.38931045,1.0,-0.955801,-1.0,0.26578656,1.0,1.0,-1.0,1.0,1.0,0.4209189,0.8073796,0.32737675,0.97057194,1.0,1.0
BSH1%UPI0002624191,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.45909125,1.0,0.4797473,-1.0,-0.80325484,1.0,1.0,-1.0,1.0,1.0,1.0,-0.7729712,-0.45600843,1.0,1.0,1.0
