Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.011856983,0.13985698,-0.12725021,-0.74163353,-0.54244065,-0.6559844,-0.630473,-0.3045735,-0.15586247,-0.21374954,0.3786466,0.4384235,0.19495851,0.19059557,-0.7463574,-0.5078348,-0.42130977,-0.044667196,-0.8756759,0.30346265,-0.5129224,-0.7311961,-0.9330132,-0.58085716,0.3508072,0.2895067,0.69962454,0.35873443,-0.5953511,-0.61962867,-1.0,-0.6651968,-0.8549256,0.1367205,-0.06983513,0.11834487,0.17598732,-0.08885205
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.099233426,0.54319865,-0.9039051,-0.22215925,-1.0,-0.5027479,-1.0,-0.08308375,-0.69860065,-0.7219608,0.33779955,0.16312101,0.28813392,-0.16504727,-1.0,-1.0,-0.877365,-0.0013114888,-1.0,0.38783383,-0.23715934,-1.0,-1.0,-0.45237675,-0.15502317,-0.027049694,0.24155319,-0.2387513,-1.0,-0.4201101,-1.0,-0.09677707,-1.0,-0.5919782,-0.6523492,-0.18129233,0.5224195,-0.5950998
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.17335588,0.008013742,-0.10796277,-0.11491841,-0.3839149,-0.2529733,-0.36173686,-0.106740564,-0.09647263,-0.17748052,-0.22361091,0.09645911,0.21783234,0.7504885,-0.46916768,-0.31223097,-0.30233026,-0.13171263,-0.7049963,-0.31776774,-0.30002078,-0.5445478,-0.7038258,-0.5420267,0.49064973,-0.11512482,0.025227165,0.32037392,-0.59026945,-0.56142247,-0.61403817,-0.17377846,-0.6153601,-0.0061550327,-0.20271362,-0.33553907,0.07846854,-0.121288076
3aHSDH%WP_008977467_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecalimonas_umbilicata_,0.121642694,-0.7567572,1.0,0.09323842,1.0,0.7217359,1.0,-0.06337285,0.9019379,0.85951275,-0.69071096,-0.543825,-0.46507344,0.4409444,1.0,1.0,1.0,0.04110553,1.0,-0.78721887,-0.104105614,1.0,1.0,-0.05186742,0.40644893,-0.16948855,-0.17375998,0.6930456,1.0,0.30748028,1.0,-0.40557483,1.0,0.8626724,1.0,0.3643366,-0.62009597,0.9826587
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,-0.111425646,-0.57426894,0.6202259,0.057436027,0.6638801,0.031319007,0.5388489,-0.23607732,0.72971606,0.60272306,-0.34014043,-0.36827382,-0.24105102,-0.11861854,0.7702077,0.51790875,0.46266925,-0.35797825,0.6767061,-0.506349,-0.07572859,0.81090677,0.724724,-0.0025398266,0.2714227,-0.27701682,-0.43882132,0.11979776,0.67370456,0.15995224,0.7045067,-0.25263548,0.858578,0.36313716,0.67421585,-0.12959777,-0.6811335,0.20779476
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,0.88581157,1.0,-1.0,0.45804173,-1.0,-0.50457835,-0.94002914,0.35450408,-1.0,-1.0,0.45496354,0.5212867,0.8419323,-0.6175236,-0.9363898,-1.0,-0.9592436,0.46966317,-1.0,0.83173305,0.4383077,-0.9952427,-0.8707262,0.20897804,-0.8322862,-0.13360938,-0.054799285,-0.72759,-1.0,-0.21509174,-1.0,0.39650458,-1.0,-0.20933089,-0.83470947,0.67401236,1.0,-0.72819567
3aHSDH%WP_037602854_1_3-oxoacyl-ACP_reductase__Streptococcus_sp__oral_taxon_056_,-1.0,-0.6268539,0.16172516,-0.29213402,0.052149884,0.28412354,-0.1054911,-0.22664224,0.69007444,0.71648234,-0.5366863,-0.17801689,-0.13213435,0.68777806,0.07880784,0.14108515,0.23486125,-0.6203532,0.17639297,-0.60900277,-0.42163944,-0.018802302,-9.379747e-05,-0.29154935,1.0,0.053394575,0.36539665,0.6790345,-0.031403273,-0.22451077,0.11738527,-0.046854652,0.12194129,-0.6890389,-0.09658113,-1.0,-0.73024696,-0.061923318
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0.044546902,-0.810798,1.0,0.21141432,1.0,0.73788565,1.0,0.38390046,1.0,1.0,0.0268887,0.055385984,-0.38829613,1.0,0.99141026,1.0,1.0,0.4222954,0.989087,-0.488657,0.07614686,1.0,0.86884224,0.35289213,0.7289938,0.27633533,0.07885512,1.0,1.0,0.65599936,0.8265852,-0.19394809,1.0,1.0,1.0,0.32835916,-0.7964269,1.0
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,-0.316485,-0.8492939,0.9568569,-0.12935646,1.0,0.36735374,0.94371706,-0.4747942,0.8600509,0.8489065,-0.9696666,-0.897501,-0.6546052,0.23967493,1.0,0.9492468,0.99231255,-0.47476342,1.0,-1.0,-0.349461,1.0,1.0,-0.21564762,0.33312973,-0.43162182,-0.38769418,0.53482366,1.0,0.124236465,1.0,-0.45683837,1.0,0.48452774,0.8597283,-0.27695176,-0.837107,0.6498623
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,-1.0,-0.7339531,0.10573133,-0.63995963,0.23719387,-0.011549537,0.34129205,-0.51480526,0.4927269,0.32030597,-0.98685914,-0.7606362,-0.55997807,0.46438602,0.3376092,0.29026356,0.23985371,-0.7502954,0.23492405,-0.9622539,-1.0,0.14720881,0.141392,-0.934051,0.8983554,-0.3760506,-0.17659721,0.511479,0.19314711,-0.7033485,0.53809,-0.1649691,0.19662097,-0.5584025,-0.60849315,-1.0,-0.6181077,-0.4760547
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,0.3779499,0.21855633,-0.09068171,0.12646571,0.09804549,0.14419356,0.07089863,0.0027227616,-0.1838498,-0.1127207,0.046808425,-0.007951859,-0.018528197,-0.3698901,0.13448596,0.13123399,0.17463969,0.07322982,0.13919336,0.15583515,0.33282155,0.054911893,0.11452032,0.15609401,-0.35291442,-0.0101084355,0.043491486,-0.19068448,0.13833246,0.2701315,-0.109358974,0.081536785,-0.04851404,-0.30250058,0.09784864,0.26318744,0.14436683,0.051529456
3aHSDH%WP_191282235_1_SDR_family_oxidoreductase__Pseudolysinimonas_yzui_,-1.0,-0.6219055,0.06617703,0.027271949,0.049453437,0.60709697,0.13281865,-0.08544186,0.6126675,0.5761971,-0.9579033,-0.32543102,0.07483825,0.7708195,0.284582,0.2110048,0.28568706,-0.60150003,0.38864025,-0.91859776,-0.43041316,0.2928074,0.101234056,-0.2655599,1.0,0.026827438,0.12181775,0.5731097,-0.09537326,-0.42933616,0.4631736,0.37150723,0.32749817,-0.7302864,-0.47547168,-1.0,-0.5925677,-0.44573036
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.06988485,-0.47015747,0.56427205,-0.1870426,0.4364482,0.21245871,0.3331878,-0.18940736,0.5678018,0.40206265,-0.11581115,0.08216674,-0.11193046,0.31212094,0.5446618,0.4222899,0.50085735,-0.16944331,0.38500768,-0.22168794,-0.26827803,0.34748667,0.44535327,-0.15534152,0.4127532,0.1249108,0.1948843,0.47802025,0.4227798,0.17314343,0.24371643,-0.3094012,0.39570552,-0.088886224,0.6504011,0.07090141,-0.46471423,0.27210018
