Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.046911545,0.036377862,-0.008936837,0.020330878,-0.007023509,-0.013827085,0.003151595,0.01429365,-0.030275676,-0.028949654,0.026804714,0.008110888,0.012650001,-0.03432188,-0.013243608,-0.006785169,-0.008741256,0.026974713,-0.007224138,0.031487063,0.021363396,-0.00567306,-0.006648919,0.018581856,-0.0536467,-0.0016673529,-0.009628271,-0.03116983,0.0017465658,0.01948914,-0.00834466,0.008246187,-0.011957717,0.030595727,0.003878603,0.039166868,0.037395775,0.014738289
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,0.005747996,-0.019936485,0.055442873,0.023125544,0.052015577,0.017382978,0.05831779,0.008090468,0.024652814,0.029762713,-0.0121483095,-0.0040410603,-0.006109151,0.030275088,0.03524133,0.05130718,0.04644918,0.00891712,0.04841994,-0.020328619,0.016474126,0.05093646,0.048557714,0.024194283,-0.007318176,0.010603897,-0.003824618,0.024142087,0.055382587,0.028275311,0.051870603,7.7464894e-05,0.05284921,0.055235486,0.050275687,0.01952429,-0.014459369,0.06782395
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,-0.0937807,-0.049044266,-0.008017777,-0.02260219,-0.0065997965,0.027610803,-0.0059641,-0.021647226,0.023236174,0.021897338,-0.07434406,-0.055461634,-0.024781318,0.044005133,-0.00021211244,-0.0038808098,0.0033227373,-0.046547793,0.015086081,-0.07506145,-0.044847652,0.012185966,0.0024066144,-0.03524521,0.06476621,-0.0256077,-0.009853733,0.028059024,-0.02140742,-0.05369212,0.020071771,-0.0004768363,0.00012647088,-0.038289063,-0.038777992,-0.08763257,-0.037446838,-0.031908914
3aHSDH%3aHSDH%MED9821234_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,0.0018642134,-0.015910372,0.04054389,0.030966878,0.03452822,0.03725397,0.034815848,0.028961157,0.04031049,0.04372951,-0.0042664874,0.00033685408,0.0026748236,0.016959192,0.035033073,0.03812941,0.03961527,0.013639206,0.042925395,-0.010148287,0.02519068,0.0393486,0.035810232,0.024830699,0.021547966,0.009058705,5.5853747e-05,0.021431822,0.03414917,0.03124161,0.0376006,0.020106027,0.04306751,0.014895515,0.03615017,0.007633442,-0.019242771,0.039828766
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,0.015443189,-0.009833186,0.047465432,0.025037823,0.041868005,0.0073194695,0.05303357,0.013717757,0.010177727,0.012983764,-0.0016627744,0.00083189626,0.00033783022,0.023827158,0.027694618,0.043181233,0.03871082,0.014080104,0.035110094,-0.009773704,0.01926966,0.038329184,0.03712689,0.021601565,-0.016768998,0.014134747,-0.0022543792,0.020955272,0.046956,0.027852874,0.036592573,0.003469284,0.0399975,0.05661317,0.04365345,0.030450286,-0.0006684379,0.063667715
3aHSDH%3aHSDH%WP_117548394_1_SDR_family_NAD(P)-dependent_oxidoreductase__Longicatena_caecimuris_,-0.004467663,0.009317225,-0.035015706,-0.012327011,-0.036041226,-0.030485995,-0.035087775,-0.009737521,-0.03152112,-0.023344386,0.0108686825,0.0067006173,-0.0025556344,-0.012792459,-0.034749318,-0.03346997,-0.024361558,-0.01000196,-0.037711114,0.018258214,-0.008070413,-0.04028263,-0.032369137,-0.006938858,-0.016511273,0.009289284,0.02834147,0.0034769273,-0.026573457,-0.013796844,-0.04935236,-0.01644925,-0.047405213,-0.037758183,-0.022752164,-0.002806092,0.014843129,-0.01710949
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,0.026245944,0.032721445,-0.033101853,-0.0074817436,-0.035607573,-0.018214695,-0.029861316,0.007045744,-0.034265645,-0.03767125,0.034167815,0.019784529,0.008204876,-0.016811779,-0.03674521,-0.030111179,-0.036521878,0.018258262,-0.04219168,0.031620186,0.0028005175,-0.037312426,-0.040770154,-0.005795528,-0.024885168,0.008850491,0.006281865,-0.036720417,-0.03655659,-0.010380472,-0.045662835,-0.0024526953,-0.03627224,-0.022564165,-0.009696698,0.012590126,0.02335297,-0.017467767
3aHSDH%3aHSDH%WP_270387972_1_SDR_family_NAD(P)-dependent_oxidoreductase__Blautia_hansenii_,-0.024890063,-0.038141917,0.054028187,0.01365792,0.05071831,0.022299659,0.0684155,-0.00022541413,0.038786028,0.038034562,-0.01910653,-0.015735693,-0.025574073,0.024336396,0.046994146,0.05690269,0.055230927,-0.0019242297,0.060989037,-0.034479048,0.0010614092,0.06640951,0.062028393,0.013628001,0.0048928303,0.019440636,0.005222848,0.029469637,0.06634371,0.03326087,0.06367607,-0.014997397,0.0669777,0.030733567,0.04612785,-0.004161654,-0.02921149,0.049906682
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,-0.06606138,-0.050498992,0.03528352,-0.017140009,0.033529356,0.026695075,0.025621701,-0.012667781,0.051715992,0.043161254,-0.035513736,-0.030070178,-0.024108486,0.045849573,0.021767998,0.030135853,0.035938963,-0.02739557,0.03491665,-0.039547198,-0.02114821,0.025645392,0.02399395,-0.009779687,0.05006139,-0.006097234,0.01206072,0.050243888,0.02682748,0.0074458225,0.026614912,-0.0028831807,0.016303334,0.0041862163,0.007738354,-0.06011488,-0.04659855,0.024201881
3aHSDH%GENOME060426_131,0.058959395,0.050128378,-0.010667508,0.037316523,-0.014264725,0.010954585,-0.0031064337,0.04734452,-0.026081437,-0.0088549545,0.039049987,0.03756176,0.028499175,-0.0108729545,-0.01755537,-0.0049724225,-0.007387951,0.05632032,-0.019531934,0.04686243,0.041734237,-0.020508816,-0.019872567,0.036068726,-0.02424115,0.02243872,0.015100655,-0.018203394,-0.011661348,0.027278982,-0.010900669,0.032998174,-0.014896521,0.020952048,-0.003208678,0.05718425,0.051578503,0.011623524
