Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,HCA,LCA,TCA,TCDCA,TDCA,UDCA
BSH2%UPI000DF86417,-0.011690768,0.00089083763,0.036581308,0.024360215,0.012027741,-0.016112236,0.04470627,0.02783817,-0.025591347,0.09522994,0.037276298,-0.006212771,-0.009758946,-0.040878616,-0.03430172,-0.04505103
BSH2%UPI000E40484B,0.02945201,0.069755696,-0.0038933598,-0.032580294,-0.050444193,0.02739033,-0.02211564,-0.041393384,0.059169486,-0.0559463,-0.039806277,0.04074049,-0.0113784075,-0.010891918,0.047457933,-0.068638675
BSH2%UPI000E466DA6,-0.035495587,0.05952942,-0.011850227,-0.019596055,0.035783447,-0.02654501,0.0069865203,0.06868412,-0.018823523,0.07279856,0.08396807,-0.020071823,-0.02749046,0.018933997,-0.053676575,0.031692833
BSH2%UPI000E4BF981,0.033374857,0.042433523,-0.026006423,-0.047962427,-0.00458591,0.02830078,-0.06033259,-0.057358366,0.0076966346,-0.0030339316,-0.010912512,-0.007885892,0.0078070695,-0.00027001978,0.016332617,0.033144925
BSH2%UPI000E4E4D64,-0.024039702,0.03313307,0.018631652,0.034928065,0.04840297,-0.03558344,0.08686126,0.059542045,-0.03859534,-0.0065950956,0.037138544,0.008987313,-0.040945854,-0.0005255828,-0.057734624,0.004450277
BSH2%UPI000E53BC4B,-0.01385022,0.056277577,0.040484775,0.04125685,0.06560211,-0.022871148,-0.103378564,-0.040196247,0.011116084,-0.08755184,0.06331956,-0.0022661064,0.037884187,-0.0076458063,-0.05980091,0.05047383
BSH2%UPI000E53DAEE,-0.03594314,-0.09548674,-0.0019737282,0.014040099,0.046351247,-0.043476753,-0.01677036,-0.080942795,-0.046580337,0.03378838,-0.020172108,-0.0655861,0.07604507,0.07165112,0.016776457,0.035703745
BSH2%UPI000E80FD85,-0.050516736,-0.055199552,0.05301778,0.045521647,0.049647007,-0.0646879,0.06917543,0.06829462,-0.05016364,-0.027132435,0.038139325,-0.09573144,0.003072996,0.024284149,-0.05660869,0.091386154
BSH2%UPI000E8B2418,0.03805024,0.04615774,-0.052930303,-0.044604637,-0.049472414,0.034398116,-0.05710746,-0.045618087,-0.004352395,-0.005048943,-0.01933859,0.043647207,0.015770413,0.018431023,0.020706816,0.058445703
BSH2%UPI000E8E16B0,0.022676228,-0.019216072,-0.0739369,-0.042507764,-0.015462628,0.016503306,0.030533351,0.0059915753,0.062953,0.016462358,-0.026500003,0.0016152735,0.0008500655,-0.0087349005,0.029701198,-0.06122727
