Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,HCA,LCA,TCA,TCDCA,TDCA,UDCA
BSH1%UPI000A00C8F6,0.12073401,0.15583746,0.42480433,0.20423879,-0.07826677,0.14331111,-0.5498137,0.034026604,-0.1315403,-0.024369339,-0.88187885,0.24531382,-0.23233591,0.6633643,0.3044324,-0.4343267
BSH1%UPI000BCCCB22,0.2784101,0.034238916,-0.24672784,-1.0,-0.6451096,0.3085599,-0.083468266,0.16689923,1.0,0.26886877,0.5377555,0.13558404,-0.25656897,0.445138,-0.20073721,-1.0
BSH1%UPI000CF9C992,0.17729636,-0.49455926,0.7192969,0.3736461,0.52940995,-0.11048026,-0.011613904,-0.719184,-0.5729588,-0.12461704,0.6144956,0.16710852,0.25314808,0.25238484,-1.0,1.0
BSH2%UPI0000382136,-0.89983726,0.021913197,0.90830386,1.0,0.8012777,-1.0,0.43570122,1.0,-1.0,-0.17032906,1.0,-1.0,0.2754506,1.0,-0.42154586,-0.018828545
BSH2%UPI00017C25E3,0.44982812,0.2368424,-0.8778888,-0.8667826,-0.33090666,0.46887043,0.10006737,0.9444441,0.42303175,-0.22624609,0.44356284,0.16893908,-0.84828556,0.27685705,-1.0,0.12359095
BSH2%UPI0001C1C05D,-0.5081991,-0.5309234,0.48033622,0.75492156,0.93238306,-0.61635053,0.20372517,-0.023022866,-0.0081639355,-0.31008917,0.07366307,-1.0,0.31866312,-0.15504114,-0.062097587,0.26522267
BSH2%UPI0001CF4F1D,0.5876646,0.196104,0.7016347,0.1193195,-0.68601084,0.32329848,-0.36110532,-0.25948006,1.0,-0.8615408,0.7771665,0.11156908,-0.14404546,-1.0,0.045648385,0.519491
BSH2%UPI0002814877,-0.2737683,-0.086938426,0.434076,0.86742663,0.51537436,-0.30621886,0.029135212,0.25735056,-0.3172061,-0.89914125,1.0,-0.46208525,0.43136814,-0.67954683,0.043560725,0.50631666
BSH2%UPI00038B932A,0.34685647,1.0,-0.15182762,0.09587038,0.2186654,0.23136002,0.11055875,0.062955,-0.2457873,0.08014625,0.71818167,0.5902035,-1.0,-0.28270444,-0.9340947,-0.11285152
BSH2%UPI000396CDDF,0.3454278,-0.8432764,0.34057912,0.062698655,-0.455937,0.5958755,-0.89454204,-1.0,0.27628937,0.04054246,-0.011957297,0.3146613,-0.25088787,-0.5817276,0.3835506,-0.120636985
BSH2%UPI0003AD64AE,0.9083893,0.6403079,-0.3458208,-0.12018767,-0.8795521,0.8917029,0.6645641,0.036070123,0.89992297,0.9875373,-0.28821138,0.87810504,-1.0,-1.0,-0.89972603,0.50228125
BSH2%UPI000508CF7A,-0.6281694,-0.3989499,1.0,1.0,0.31579933,-0.8482851,1.0,1.0,-0.53690475,1.0,1.0,-1.0,-0.9081154,0.74515474,-1.0,1.0
BSH2%UPI00050FFCF5,1.0,0.181823,-0.906,-0.6604695,-0.62208503,1.0,-0.27111793,-0.5014365,0.34073588,-0.4066298,-1.0,1.0,-0.19762938,-0.9609463,0.7831935,-0.3557857
BSH2%UPI0005D317A6,-0.9868117,-0.7802941,1.0,1.0,0.7437225,-0.8488526,-0.034864273,-0.08541301,-0.060708806,0.64969015,0.7575843,-1.0,-0.14030287,-0.9106213,0.32521978,0.63341904
BSH2%UPI0006C0EB58,-0.64484805,-0.65621,-0.74197876,-0.19746676,0.48894897,-0.5288558,0.16943268,-0.07015725,-0.5226274,0.08209131,0.41848153,-0.3437106,0.80074954,1.0,0.0993531,0.5303816
BSH2%UPI0006C1ADDE,-0.16033399,0.12406079,0.82070255,0.8404351,0.38608053,-0.19524617,1.0,1.0,0.04087638,-0.2376592,0.711176,-0.3421988,-1.0,-1.0,-0.9645094,0.8235664
BSH2%UPI0006C23C60,-0.46856195,0.101667486,0.24968152,0.46496308,0.10843527,-0.35842544,0.7416659,0.21193565,0.39674366,1.0,0.7894877,-0.37890446,-0.22724877,0.48817354,-0.5557162,-1.0
BSH2%UPI0006C45BC8,-0.37996647,-1.0,0.1614346,-0.4715162,0.4842857,-0.1603831,-1.0,-0.5013969,0.09433177,0.072821096,0.2945371,-1.0,0.9466466,0.33794835,1.0,-0.6042281
BSH2%UPI0006C4A6B6,0.37837857,0.43321338,-0.064836495,-0.5693267,0.25357956,0.23676182,0.02198423,0.58153087,0.26650292,-0.42533365,0.93706775,0.21728183,-1.0,-0.4947494,-0.5121112,0.030572006
BSH2%UPI0006CAB5AD,-0.14714757,0.5059635,-0.37194583,-0.26592535,-0.10857361,0.10801789,-0.3648193,0.081834584,-0.99714607,-0.15653819,0.3769982,0.40711015,0.640021,0.63987124,0.78707623,-0.48604298
BSH2%UPI0006CABE2C,1.0,0.16488452,-0.62585026,-0.6349274,-1.0,1.0,-0.37027106,-1.0,1.0,-0.85511744,0.4362692,0.1722912,-0.8455787,-0.88677734,0.7317554,-0.059424672
BSH2%UPI00082051E1,0.3244786,-0.33906496,0.7149911,0.42402083,-0.082908496,0.43457845,-0.29190207,-1.0,-0.32421565,0.090154506,-1.0,0.48971695,0.15631777,0.1326741,-0.05120363,-1.0
BSH2%UPI00082062C1,0.55781835,-0.13242696,-0.6147278,-0.5359925,-0.48019692,0.3283974,-0.7780446,0.05303212,-0.4371009,-0.35055688,-1.0,0.44166583,0.5798798,0.44052306,0.34353223,-0.34579808
BSH2%UPI000820857A,-0.50189316,-0.81715876,-0.35952356,0.04950126,-0.2180896,-0.52631015,-0.38548362,-1.0,0.4126529,-0.15735412,1.0,-0.6302755,0.35680658,0.86068434,0.23147966,-0.052424025
BSH2%UPI000820B778,0.0059165885,-0.08091446,0.119732805,0.49325746,-0.24080676,-0.12451301,0.75287133,-0.04137738,0.81154597,0.07094386,-1.0,-0.11658181,-0.2393505,-0.012136589,-0.00091831724,0.35610843
BSH2%UPI000821232B,0.38660285,1.0,-0.5529695,0.19203046,-0.61654454,0.19354214,0.6807551,0.4722722,-1.0,-0.24652265,-0.2847813,0.37887132,0.5861097,0.48317868,-0.34761688,0.5093421
BSH2%UPI0008219BA0,-0.789321,0.1853106,1.0,0.7495561,0.90560335,-0.6158533,-0.22001539,1.0,-0.86973417,-1.0,0.99154884,-0.8974765,-0.113496594,-0.36304054,-0.83782995,0.4868001
BSH2%UPI000821B1D8,0.8081729,-0.018899536,0.40627512,-0.5912257,-0.78088754,1.0,-0.19812271,-1.0,0.15629628,-1.0,-0.42263368,1.0,-0.45207363,-0.9087425,0.75389934,-0.10287889
BSH2%UPI000821B9AC,0.14074236,0.96633846,0.015738737,-0.38917518,0.035523113,0.04439801,-1.0,-0.21381664,-0.45786834,-0.07408409,0.19681576,0.50560886,-0.007098197,0.49495238,0.050790083,-0.3587036
