Sample,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
C18-neg_Cluster_1343: NA,0.7209362683615421,0.7249068711039708,0.7310136839583422,0.7171887991657155,0.7181729355449392,0.7242527374963008,0.7090538198114404,0.7138676324826074,0.7078242365309545,0.7218100123545522,0.7189026996810365
C18-neg_Cluster_1400: NA,0.725585666840476,0.7194224834059105,0.7063315905428957,0.7126310028795972,0.7156104229202779,0.7174436411636768,0.7185886685738713,0.7233989580837761,0.717912221611541,0.7128952399742574,0.716981989599628
C18-neg_Cluster_0930: cholate,0.7227906255725137,0.7186826195408617,0.7051971326164875,0.7097725447089164,0.7137161365483354,0.7145429050578503,0.7194506686960076,0.7206978677828042,0.7140167796427045,0.716056690013482,0.7154923970179963
C18-neg_Cluster_2104: NA,0.7094225773568774,0.7066780347336725,0.7008789112961945,0.7162927418180453,0.7297289044847495,0.7149457198288215,0.7198710992732893,0.7236878573072714,0.7083010376884303,0.7166133494928997,0.7146420233280251
C18-neg_Cluster_1001: NA,0.7138652837084326,0.7197595324999884,0.7070432691178474,0.7098336128374603,0.714235215640957,0.7166568018151327,0.7163866927850355,0.7142880630598891,0.7094178798085279,0.7126039919765874,0.7134090343249858
C18-neg_Cluster_1052: NA,0.7202433799799886,0.7272439014078552,0.7133837850026072,0.7117243760481405,0.7131512563593061,0.7198311701123185,0.7124771581711505,0.7041801133988173,0.6997926032403688,0.7109222696674605,0.7132950013388014
C18-neg_Cluster_1377: NA,0.7167249162662007,0.722816462088436,0.7107907383136741,0.7142070303508599,0.708946950586489,0.7045570916538659,0.7153485345997923,0.7164700742682394,0.7117502125640628,0.7093180569061007,0.7130930067597722
C18-neg_Cluster_0792: NA,0.7108071797328974,0.7147730849269767,0.6919946729801716,0.7033627399860013,0.7126450955246457,0.7121048774644513,0.7147848287978504,0.7211417861018334,0.7109880353443538,0.7260718630946509,0.7118674163953833
C18-neg_Cluster_0452: NA,0.7181835050287256,0.7104419453487225,0.7147601666690154,0.7057913724827014,0.7084302202680421,0.7134601201632867,0.7056574923547401,0.7204066197851341,0.7129034606838691,0.7072229503422165,0.7117257853126453
C18-neg_Cluster_0563: palmitoylethanolamide,0.7226637917670768,0.7101636156090136,0.7066334080243521,0.7105969644442566,0.7120062289491115,0.7171465212305699,0.7031067236009527,0.707110209181828,0.7091900487135764,0.7142951093824134,0.7112912620903151
C18-neg_Cluster_0814: NA,0.71634441484989,0.709166560971829,0.6965137144924064,0.7013310503248356,0.7068729829901775,0.7037667291440597,0.715858218595715,0.7327376842026148,0.7029211704411469,0.7182985949632889,0.7103811120975965
C18-neg_Cluster_0314: NA,0.7193696359869785,0.7210266961672703,0.697664613838038,0.7127155587498885,0.7079698605297896,0.7191899547626095,0.7148118397008603,0.702103797028331,0.7115623106300822,0.6890140785524035,0.7095428345946251
C18-neg_Cluster_1827: NA,0.7157607444674625,0.709631618258431,0.6936341173541529,0.704086162431827,0.7111454032140626,0.7100262123197904,0.7137830766123161,0.7153908125349381,0.7100861060612468,0.7041624975925065,0.7087706750846733
C18-neg_Cluster_1507: NA,0.7045547428796912,0.7032546963739625,0.6997268375634756,0.7042775875270697,0.7079769068523137,0.7082141330439644,0.7163538099465888,0.7202985761730953,0.7080461956904691,0.7032723121802732,0.7075975798230904
C18-neg_Cluster_2037: NA,0.710982163408917,0.7049422906185262,0.6996857340154174,0.7001378730440584,0.7054014759696915,0.7088870568450326,0.6960674473992023,0.7173038891002785,0.7027403148296903,0.7104830488967808,0.7056631294127594
3oxoLCA,0.703020993343574,0.7136351038393063,0.6950551257298816,0.7040967319156133,0.7126028175895001,0.7073356915026049,0.7103491687688196,0.7085147761383334,0.697435608355999,0.7020509496093988,0.705409696679303
C18-neg_Cluster_1273: cholate,0.7119475095947425,0.7101577436735769,0.693749207288716,0.6998360555626019,0.7042775875270697,0.6962471286235715,0.7077291111768768,0.7148928724098893,0.7044784077190115,0.7056187375808566,0.7048934361156912
C18-neg_Cluster_0440: NA,0.7086075527182365,0.7060967131254198,0.690465620992404,0.6951596461806584,0.6997233144022135,0.707878258336974,0.697615289580368,0.7172909708423173,0.7058078139019247,0.7155481804046468,0.7044193360485164
C18-neg_Cluster_1149: NA,0.7052405849387205,0.7080602883355177,0.6906922777002683,0.7053885577117303,0.7097220460641592,0.7050385903596913,0.7081084382061003,0.7060062853196917,0.6951056243746389,0.701626995870855,0.7034989688881373
C18-neg_Cluster_1242: NA,0.7080180104003722,0.7016363909675541,0.708154239302508,0.6970715483589115,0.6864480427664802,0.7066533726048376,0.7023198842524088,0.7118054087571697,0.709777242257266,0.7007215434264857,0.7032605683093993
C18-neg_Cluster_1487: NA,0.698135543060077,0.7046862742334775,0.7023680341229913,0.691317051630754,0.7066345824114395,0.7128799729421216,0.7067766832490123,0.7111947274717325,0.6903963321542488,0.7015271729684278,0.7025916374244282
C18-neg_Cluster_0556: NA,0.6932771036795896,0.7035165846944481,0.6930222616816285,0.7045406502346426,0.7050867402302738,0.7100872804483341,0.7032312086322149,0.7010856034235733,0.6885795553300733,0.7085147761383334,0.7010941764493113
C18-neg_Cluster_1486: NA,0.698012232415902,0.6938971800617258,0.700471398976874,0.7053486285507594,0.7019945790292047,0.6975894530644458,0.703662208693283,0.7027144783137682,0.7070644080854203,0.6953545944371632,0.7006109161628548
C18-neg_Cluster_1239: NA,0.7088576971678482,0.7129140301676555,0.6814698159030803,0.6922107602042495,0.697615289580368,0.6936094552253179,0.7081448442058091,0.7124806813324127,0.6997080473700776,0.6989000690539607,0.700591069021078
C18-neg_Cluster_1371: NA,0.7077901793054207,0.693575397999784,0.6888837215857044,0.6940521991572599,0.7018289904498842,0.7001237803990098,0.6929212643921138,0.7102986701240622,0.7006346387820197,0.7151453656336758,0.7005254207828934
C18-neg_Cluster_1325: NA,0.7038759471431859,0.7028389633450302,0.6891808415188113,0.6960451340445422,0.7019546498682339,0.7031736636649334,0.7013263527764861,0.7010374535529907,0.6971525810679408,0.700957595231049,0.6997543182213203
C18-neg_Cluster_0137: NA,0.6996681182091067,0.6981073577699798,0.702642840701438,0.6893511276464813,0.7027450123780399,0.7021331567055155,0.6964491232026006,0.7038465874660015,0.6920991934309485,0.7099393076753243,0.6996981825185437
